Dataset_id,Name,Provider,Snippet,Tags,DOI,Website
Dataset_91,ESA WorldCover 10m v200,ESA/VITO/Brockmann Consult/CS/GAMMA Remote Sensing/IIASA/WUR,ESA/WorldCover/v200,"esa, landcover, landuse, sentinel1-derived, sentinel2-derived",,https://developers.google.com/earth-engine/datasets/catalog/ESA_WorldCover_v200
Dataset_92,Estonia mono orthophotos,Estonia orthophotos,Estonia/Maamet/orthos/mono,"estonia, orthophoto",,https://developers.google.com/earth-engine/datasets/catalog/Estonia_Maamet_orthos_mono
Dataset_93,Estonia RGB orthophotos,Estonia orthophotos,Estonia/Maamet/orthos/rgb,"estonia, orthophoto, rgb",,https://developers.google.com/earth-engine/datasets/catalog/Estonia_Maamet_orthos_rgb
Dataset_94,"FAO GAUL: Global Administrative Unit Layers 2015, Country Boundaries",FAO UN,FAO/GAUL/2015/level0,"borders, countries, fao, gaul, un",,https://developers.google.com/earth-engine/datasets/catalog/FAO_GAUL_2015_level0
Dataset_95,"FAO GAUL: Global Administrative Unit Layers 2015, First-Level Administrative Units",FAO UN,FAO/GAUL/2015/level1,"borders, departments, fao, gaul, provinces, states, un",,https://developers.google.com/earth-engine/datasets/catalog/FAO_GAUL_2015_level1
Dataset_96,"FAO GAUL: Global Administrative Unit Layers 2015, Second-Level Administrative Units",FAO UN,FAO/GAUL/2015/level2,"borders, county, districts, fao, gaul, un",,https://developers.google.com/earth-engine/datasets/catalog/FAO_GAUL_2015_level2
Dataset_97,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Country Boundaries",FAO UN,FAO/GAUL_SIMPLIFIED_500m/2015/level0,"borders, countries, fao, gaul, un",,https://developers.google.com/earth-engine/datasets/catalog/FAO_GAUL_SIMPLIFIED_500m_2015_level0
Dataset_98,"FAO GAUL 500m: Global Administrative Unit Layers 2015, First-Level Administrative Units",FAO UN,FAO/GAUL_SIMPLIFIED_500m/2015/level1,"borders, departments, fao, gaul, provinces, states, un",,https://developers.google.com/earth-engine/datasets/catalog/FAO_GAUL_SIMPLIFIED_500m_2015_level1
Dataset_99,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",FAO UN,FAO/GAUL_SIMPLIFIED_500m/2015/level2,"borders, county, districts, fao, gaul, un",,https://developers.google.com/earth-engine/datasets/catalog/FAO_GAUL_SIMPLIFIED_500m_2015_level2
Dataset_100,UN FAO Drained Organic Soils Area (Annual) 1.0,FAO UN,FAO/GHG/1/DROSA_A,"agriculture, climate-change, emissions, fao, ghg, organic-soils",https://doi.org/10.5194/essd-12-3113-2020,https://developers.google.com/earth-engine/datasets/catalog/FAO_GHG_1_DROSA_A
Dataset_101,Drained Organic Soils Emissions (Annual) 1.0,FAO UN,FAO/GHG/1/DROSE_A,"agriculture, climate-change, emissions, fao, ghg, organic-soils",https://doi.org/10.5194/essd-12-3113-2020,https://developers.google.com/earth-engine/datasets/catalog/FAO_GHG_1_DROSE_A
Dataset_102,Forest proximate people (FPP) 1.0,FAO Forestry Division (FPP 1km),FAO/SOFO/1/FPP,"agriculture, fao, forest, global, population, rural-area",https://doi.org/10.1016/j.oneear.2020.08.016,https://developers.google.com/earth-engine/datasets/catalog/FAO_SOFO_1_FPP
Dataset_103,Tree proximate people (TPP) 1.0,FAO Forestry Division (TPP 500m cropland),FAO/SOFO/1/TPP,"agriculture, fao, forest, global, population, rural-area",https://doi.org/10.1016/j.oneear.2020.08.016,https://developers.google.com/earth-engine/datasets/catalog/FAO_SOFO_1_TPP
Dataset_104,WAPOR Actual Evapotranspiration and Interception 2.0,FAO UN,FAO/WAPOR/2/L1_AETI_D,"agriculture, fao, wapor, water",,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_AETI_D
Dataset_105,WAPOR Dekadal Evaporation 2.0,FAO UN,FAO/WAPOR/2/L1_E_D,"agriculture, fao, wapor, water",,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_E_D
Dataset_106,WAPOR Dekadal Interception 2.0,FAO UN,FAO/WAPOR/2/L1_I_D,"agriculture, fao, wapor, water",,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_I_D
Dataset_107,WAPOR Dekadal Net Primary Production 2.0,FAO UN,FAO/WAPOR/2/L1_NPP_D,"agriculture, fao, wapor, water",,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_NPP_D
Dataset_108,WAPOR Dekadal Reference Evapotranspiration 2.0,FAO UN,FAO/WAPOR/2/L1_RET_D,"agriculture, fao, wapor, water",,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_RET_D
Dataset_109,WAPOR Daily Reference Evapotranspiration 2.0,FAO UN,FAO/WAPOR/2/L1_RET_E,"agriculture, fao, wapor, water",,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_RET_E
Dataset_110,WAPOR Dekadal Transpiration 2.0,FAO UN,FAO/WAPOR/2/L1_T_D,"agriculture, fao, wapor, water",,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_T_D
Dataset_111,FIRMS: Fire Information for Resource Management System,NASA / LANCE / EOSDIS,FIRMS,"fire, geophysical, hotspot, modis, nasa, thermal",,https://developers.google.com/earth-engine/datasets/catalog/FIRMS
Dataset_112,Finland NRG NLS orthophotos 50 cm by Mavi,NLS orthophotos,Finland/MAVI/VV/50cm,"falsecolor, finland, nrg, orthophoto",,https://developers.google.com/earth-engine/datasets/catalog/Finland_MAVI_VV_50cm
Dataset_113,Finland RGB NLS orthophotos 50 cm by SMK,NLS orthophotos,Finland/SMK/V/50cm,"finland, orthophoto, rgb, smk",,https://developers.google.com/earth-engine/datasets/catalog/Finland_SMK_V_50cm
Dataset_114,Finland NRG NLS orthophotos 50 cm by SMK,NLS orthophotos,Finland/SMK/VV/50cm,"falsecolor, finland, nrg, orthophoto, smk",,https://developers.google.com/earth-engine/datasets/catalog/Finland_SMK_VV_50cm
Dataset_115,GFW (Global Fishing Watch) Daily Fishing Hours,Global Fishing Watch,GFW/GFF/V1/fishing_hours,"fishing, gfw, marine, monthly, ocean",,https://developers.google.com/earth-engine/datasets/catalog/GFW_GFF_V1_fishing_hours
Dataset_116,GFW (Global Fishing Watch) Daily Vessel Hours,Global Fishing Watch,GFW/GFF/V1/vessel_hours,"fishing, gfw, marine, monthly, ocean",,https://developers.google.com/earth-engine/datasets/catalog/GFW_GFF_V1_vessel_hours
Dataset_117,GLCF: Landsat Global Inland Water,NASA LP DAAC at the USGS EROS Center,GLCF/GLS_WATER,"glcf, landsat-derived, nasa, umd, water",https://doi.org/10.1080/17538947.2015.1026420,https://developers.google.com/earth-engine/datasets/catalog/GLCF_GLS_WATER
Dataset_118,GLIMS 2021: Global Land Ice Measurements From Space,National Snow and Ice Data Center (NSDIC),GLIMS/20210914,"glacier, glims, ice, landcover, nasa, nsidc, snow",https://doi.org/10.7265/N5V98602,https://developers.google.com/earth-engine/datasets/catalog/GLIMS_20210914
Dataset_119,GLIMS Current: Global Land Ice Measurements From Space,National Snow and Ice Data Center (NSDIC),GLIMS/current,"glacier, glims, ice, landcover, nasa, nsidc, snow",https://doi.org/10.7265/N5V98602,https://developers.google.com/earth-engine/datasets/catalog/GLIMS_current
Dataset_120,Global Flood Database v1 (2000-2018),Cloud to Street (C2S) / Dartmouth Flood Observatory (DFO),GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,"surface, water",,https://developers.google.com/earth-engine/datasets/catalog/GLOBAL_FLOOD_DB_MODIS_EVENTS_V1
Dataset_121,Cloud Score+ S2_HARMONIZED V1,Google Earth Engine,GOOGLE/CLOUD_SCORE_PLUS/V1/S2_HARMONIZED,"cloud, google, sentinel2-derived",,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_CLOUD_SCORE_PLUS_V1_S2_HARMONIZED
Dataset_122,Dynamic World V1,World Resources Institute,GOOGLE/DYNAMICWORLD/V1,"global, google, landcover, landuse, nrt, sentinel2-derived",https://doi.org/10.1038/s41597-022-01307-4,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
Dataset_123,Open Buildings V3 Polygons,Google Research - Open Buildings,GOOGLE/Research/open-buildings/v3/polygons,africa,,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_Research_open-buildings_v3_polygons
Dataset_124,GRIDMET DROUGHT: CONUS Drought Indices,University of California Merced,GRIDMET/DROUGHT,"climate, conus, crop, drought, evapotranspiration, geophysical, gridmet, merced, metdata, palmer, pdsi, precipitation",,https://developers.google.com/earth-engine/datasets/catalog/GRIDMET_DROUGHT
Dataset_125,Brandenburg (Germany) RGBN orthophotos 20 cm,Brandenburg orthophotos,Germany/Brandenburg/orthos/20cm,orthophoto,,https://developers.google.com/earth-engine/datasets/catalog/Germany_Brandenburg_orthos_20cm
Dataset_126,"HYCOM: Hybrid Coordinate Ocean Model, Sea Surface Elevation",NOPP,HYCOM/sea_surface_elevation,"elevation, hycom, nopp, ocean, water",,https://developers.google.com/earth-engine/datasets/catalog/HYCOM_sea_surface_elevation
Dataset_127,"HYCOM: Hybrid Coordinate Ocean Model, Water Temperature and Salinity",NOPP,HYCOM/sea_temp_salinity,"hycom, nopp, ocean, sst, water",,https://developers.google.com/earth-engine/datasets/catalog/HYCOM_sea_temp_salinity
Dataset_128,"HYCOM: Hybrid Coordinate Ocean Model, Water Velocity",NOPP,HYCOM/sea_water_velocity,"hycom, nopp, ocean, velocity, water",,https://developers.google.com/earth-engine/datasets/catalog/HYCOM_sea_water_velocity
Dataset_129,GRIDMET: University of Idaho Gridded Surface Meteorological Dataset,University of California Merced,IDAHO_EPSCOR/GRIDMET,"climate, gridmet, humidity, merced, metdata, precipitation, radiation, temperature, wind",,https://developers.google.com/earth-engine/datasets/catalog/IDAHO_EPSCOR_GRIDMET
Dataset_130,"MACAv2-METDATA: University of Idaho, Multivariate Adaptive Constructed Analogs Applied to Global Climate Models",University of California Merced,IDAHO_EPSCOR/MACAv2_METDATA,"climate, conus, geophysical, idaho, maca, monthly",,https://developers.google.com/earth-engine/datasets/catalog/IDAHO_EPSCOR_MACAv2_METDATA
Dataset_131,"MACAv2-METDATA Monthly Summaries: University of Idaho, Multivariate Adaptive Constructed Analogs Applied to Global Climate Models",University of California Merced,IDAHO_EPSCOR/MACAv2_METDATA_MONTHLY,"climate, conus, geophysical, idaho, maca, monthly",,https://developers.google.com/earth-engine/datasets/catalog/IDAHO_EPSCOR_MACAv2_METDATA_MONTHLY
Dataset_132,"TerraClimate: Monthly Climate and Climatic Water Balance for Global Terrestrial Surfaces, University of Idaho",University of California Merced,IDAHO_EPSCOR/TERRACLIMATE,"climate, drought, evapotranspiration, geophysical, global, merced, monthly, palmer, pdsi, precipitation, runoff, temperature, vapor, wind",,https://developers.google.com/earth-engine/datasets/catalog/IDAHO_EPSCOR_TERRACLIMATE
Dataset_133,RGE ALTI: IGN RGE ALTI Digital Elevation 1m,IGN,IGN/RGE_ALTI/1M/2_0,"dem, elevation, geophysical",,https://developers.google.com/earth-engine/datasets/catalog/IGN_RGE_ALTI_1M_2_0
Dataset_134,iSDAsoil extractable Aluminium,iSDA,ISDASOIL/Africa/v1/aluminium_extractable,"africa, aluminium, isda, soil",https://doi.org/10.1038/s41598-021-85639-y,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_aluminium_extractable
Dataset_135,iSDAsoil Depth to Bedrock,iSDA,ISDASOIL/Africa/v1/bedrock_depth,"africa, bedrock, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_bedrock_depth
Dataset_136,"iSDAsoil Bulk Density, <2mm Fraction",iSDA,ISDASOIL/Africa/v1/bulk_density,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_bulk_density
Dataset_137,iSDAsoil Extractable Calcium,iSDA,ISDASOIL/Africa/v1/calcium_extractable,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_calcium_extractable
Dataset_138,iSDAsoil Organic Carbon,iSDA,ISDASOIL/Africa/v1/carbon_organic,"africa, carbon, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_carbon_organic
Dataset_139,iSDAsoil Total Carbon,iSDA,ISDASOIL/Africa/v1/carbon_total,"africa, aluminium, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_carbon_total
Dataset_140,iSDAsoil Effective Cation Exchange Capacity,iSDA,ISDASOIL/Africa/v1/cation_exchange_capacity,"africa, aluminium, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_cation_exchange_capacity
Dataset_141,iSDAsoil Clay Content,iSDA,ISDASOIL/Africa/v1/clay_content,"africa, clay, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_clay_content
Dataset_142,iSDAsoil Fertility Capability Classification,iSDA,ISDASOIL/Africa/v1/fcc,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_fcc
Dataset_143,iSDAsoil Extractable Iron,iSDA,ISDASOIL/Africa/v1/iron_extractable,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_iron_extractable
Dataset_144,iSDAsoil Extractable Magnesium,iSDA,ISDASOIL/Africa/v1/magnesium_extractable,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_magnesium_extractable
Dataset_145,iSDAsoil Total Nitrogen,iSDA,ISDASOIL/Africa/v1/nitrogen_total,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_nitrogen_total
Dataset_146,iSDAsoil pH,iSDA,ISDASOIL/Africa/v1/ph,"africa, isda, ph, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_ph
Dataset_147,iSDAsoil Extractable Phosphorus,iSDA,ISDASOIL/Africa/v1/phosphorus_extractable,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_phosphorus_extractable
Dataset_148,iSDAsoil Extractable Potassium,iSDA,ISDASOIL/Africa/v1/potassium_extractable,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_potassium_extractable
Dataset_149,iSDAsoil Sand Content,iSDA,ISDASOIL/Africa/v1/sand_content,"africa, isda, sand, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_sand_content
Dataset_150,iSDAsoil Silt Content,iSDA,ISDASOIL/Africa/v1/silt_content,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_silt_content
Dataset_151,iSDAsoil Stone Content,iSDA,ISDASOIL/Africa/v1/stone_content,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_stone_content
Dataset_152,iSDAsoil Extractable Sulfur,iSDA,ISDASOIL/Africa/v1/sulphur_extractable,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_sulphur_extractable
Dataset_153,iSDAsoil USDA Texture Class,iSDA,ISDASOIL/Africa/v1/texture_class,"africa, aluminium, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_texture_class
Dataset_154,iSDAsoil Extractable Zinc,iSDA,ISDASOIL/Africa/v1/zinc_extractable,"africa, isda, soil",,https://developers.google.com/earth-engine/datasets/catalog/ISDASOIL_Africa_v1_zinc_extractable
Dataset_155,ALOS/AVNIR-2 ORI,JAXA Earth Observation Research Center,JAXA/ALOS/AVNIR-2/ORI,"alos, jaxa, orthophoto, visible",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_AVNIR-2_ORI
Dataset_156,ALOS DSM: Global 30m v3.2,JAXA Earth Observation Research Center,JAXA/ALOS/AW3D30/V3_2,"alos, dem, elevation, geophysical, jaxa, topography",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_AW3D30_V3_2
Dataset_157,PALSAR-2 ScanSAR Level 2.2,JAXA EORC,JAXA/ALOS/PALSAR-2/Level2_2/ScanSAR,"alos2, eroc, jaxa, palsar2, radar, sar",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_PALSAR-2_Level2_2_ScanSAR
Dataset_158,Global 3-class PALSAR-2/PALSAR Forest/Non-Forest Map,JAXA EORC,JAXA/ALOS/PALSAR/YEARLY/FNF,"alos, alos2, classification, eroc, forest, jaxa, landcover, palsar, palsar2, sar",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_PALSAR_YEARLY_FNF
Dataset_159,Global 4-class PALSAR-2/PALSAR Forest/Non-Forest Map,JAXA EORC,JAXA/ALOS/PALSAR/YEARLY/FNF4,"alos, alos2, classification, eroc, forest, jaxa, landcover, palsar, palsar2, sar",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_PALSAR_YEARLY_FNF4
Dataset_160,"Global PALSAR-2/PALSAR Yearly Mosaic, version 1",JAXA EORC,JAXA/ALOS/PALSAR/YEARLY/SAR,"alos, alos2, eroc, jaxa, palsar, palsar2, sar",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_PALSAR_YEARLY_SAR
Dataset_161,"Global PALSAR-2/PALSAR Yearly Mosaic, version 2",JAXA EORC,JAXA/ALOS/PALSAR/YEARLY/SAR_EPOCH,"alos, alos2, eroc, jaxa, palsar, palsar2, sar",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_PALSAR_YEARLY_SAR_EPOCH
Dataset_162,GCOM-C/SGLI L3 Leaf Area Index (V1),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/LAND/LAI/V1,"climate, g-portal, gcom, gcom-c, jaxa, lai, land, leaf-area-index",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_LAND_LAI_V1
Dataset_163,GCOM-C/SGLI L3 Leaf Area Index (V2),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/LAND/LAI/V2,"climate, g-portal, gcom, gcom-c, jaxa, lai, land, leaf-area-index",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_LAND_LAI_V2
Dataset_164,GCOM-C/SGLI L3 Leaf Area Index (V3),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/LAND/LAI/V3,"climate, g-portal, gcom, gcom-c, jaxa, lai, land, leaf-area-index",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_LAND_LAI_V3
Dataset_165,GCOM-C/SGLI L3 Land Surface Temperature (V1),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/LAND/LST/V1,"climate, g-portal, gcom, gcom-c, jaxa, land, land-surface-temperature, lst",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_LAND_LST_V1
Dataset_166,GCOM-C/SGLI L3 Land Surface Temperature (V2),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/LAND/LST/V2,"climate, g-portal, gcom, gcom-c, jaxa, land, land-surface-temperature, lst",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_LAND_LST_V2
Dataset_167,GCOM-C/SGLI L3 Land Surface Temperature (V3),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/LAND/LST/V3,"climate, g-portal, gcom, gcom-c, jaxa, land, land-surface-temperature, lst",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_LAND_LST_V3
Dataset_168,GCOM-C/SGLI L3 Chlorophyll-a Concentration (V1),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/OCEAN/CHLA/V1,"chla, chlorophyll-a, climate, g-portal, gcom, gcom-c, jaxa, ocean, ocean-color",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_OCEAN_CHLA_V1
Dataset_169,GCOM-C/SGLI L3 Chlorophyll-a Concentration (V2),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/OCEAN/CHLA/V2,"chla, chlorophyll-a, climate, g-portal, gcom, gcom-c, jaxa, ocean, ocean-color",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_OCEAN_CHLA_V2
Dataset_170,GCOM-C/SGLI L3 Chlorophyll-a Concentration (V3),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/OCEAN/CHLA/V3,"chla, chlorophyll-a, climate, g-portal, gcom, gcom-c, jaxa, ocean, ocean-color",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_OCEAN_CHLA_V3
Dataset_171,GCOM-C/SGLI L3 Sea Surface Temperature (V1),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/OCEAN/SST/V1,"climate, g-portal, gcom, gcom-c, jaxa, ocean, sea-surface-temperature, sst",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_OCEAN_SST_V1
Dataset_172,GCOM-C/SGLI L3 Sea Surface Temperature (V2),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/OCEAN/SST/V2,"climate, g-portal, gcom, gcom-c, jaxa, ocean, sea-surface-temperature, sst",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_OCEAN_SST_V2
Dataset_173,GCOM-C/SGLI L3 Sea Surface Temperature (V3),Global Change Observation Mission (GCOM),JAXA/GCOM-C/L3/OCEAN/SST/V3,"climate, g-portal, gcom, gcom-c, jaxa, ocean, sea-surface-temperature, sst",,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GCOM-C_L3_OCEAN_SST_V3
Dataset_174,GSMaP Operational: Global Satellite Mapping of Precipitation - V6,JAXA Earth Observation Research Center,JAXA/GPM_L3/GSMaP/v6/operational,"climate, geophysical, gpm, hourly, jaxa, precipitation, weather",https://doi.org/10.57746/EO.01gs73bkt358gfpy92y2qns5e9,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GPM_L3_GSMaP_v6_operational
Dataset_175,GSMaP Reanalysis: Global Satellite Mapping of Precipitation,JAXA Earth Observation Research Center,JAXA/GPM_L3/GSMaP/v6/reanalysis,"climate, geophysical, gpm, hourly, jaxa, precipitation, weather",https://doi.org/10.57746/EO.01gs73bkt358gfpy92y2qns5e9,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GPM_L3_GSMaP_v6_reanalysis
Dataset_176,GSMaP Operational: Global Satellite Mapping of Precipitation - V7,JAXA Earth Observation Research Center,JAXA/GPM_L3/GSMaP/v7/operational,"climate, geophysical, gpm, hourly, jaxa, precipitation, weather",https://doi.org/10.57746/EO.01gs73bkt358gfpy92y2qns5e9,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GPM_L3_GSMaP_v7_operational
Dataset_177,GSMaP Operational: Global Satellite Mapping of Precipitation - V8,JAXA Earth Observation Research Center,JAXA/GPM_L3/GSMaP/v8/operational,"climate, geophysical, gpm, hourly, jaxa, precipitation, weather",https://doi.org/10.57746/EO.01gs73bkt358gfpy92y2qns5e9,https://developers.google.com/earth-engine/datasets/catalog/JAXA_GPM_L3_GSMaP_v8_operational
Dataset_178,Murray Global Tidal Wetland Change v1.0 (1999-2019),Murray/JCU,JCU/Murray/GIC/global_tidal_wetland_change/2019,"coastal, intertidal, landsat-derived, mangrove, murray",https://doi.org/10.1126/science.abm9583,https://developers.google.com/earth-engine/datasets/catalog/JCU_Murray_GIC_global_tidal_wetland_change_2019
Dataset_179,EUCROPMAP 2018,Joint Research Center (JRC),JRC/D5/EUCROPMAP/V1,"crop, eu, jrc, lucas, sentinel1-derived",,https://developers.google.com/earth-engine/datasets/catalog/JRC_D5_EUCROPMAP_V1
Dataset_180,"EC JRC global map of forest cover 2020, V1","Joint Research Centre, European Commission",JRC/GFC2020/V1,"forest, jrc",,https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_V1
Dataset_181,"GHSL: Global Human Settlement Layers, Built-Up Grid 1975-1990-2000-2015 (P2016)",EC JRC,JRC/GHSL/P2016/BUILT_LDSMT_GLOBE_V1,"built, builtup, jrc, landsat-derived",,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2016_BUILT_LDSMT_GLOBE_V1
Dataset_182,"GHSL: Global Human Settlement Layers, Built-Up Characteristics 2018 (P2023A)",EC JRC,JRC/GHSL/P2023A/GHS_BUILT_C,"built, builtup, ghsl, jrc, landsat-derived",https://doi.org/10.2905/3c60ddf6-0586-4190-854b-f6aa0edc2a30,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_C
Dataset_183,"GHSL: Global Human Settlement Layers, Built-Up Height 2018 (P2023A)",EC JRC,JRC/GHSL/P2023A/GHS_BUILT_H,"built, builtup, ghsl, jrc, landsat-derived",https://doi.org/10.2905/85005901-3A49-48DD-9D19-6261354F56FE,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_H
Dataset_184,"GHSL: Global Human Settlement Layers, Built-Up Surface Grid 1975-2030 (P2023A)",EC JRC,JRC/GHSL/P2023A/GHS_BUILT_S,"built, builtup, ghsl, jrc, landsat-derived",https://doi.org/10.2905/9F06F36F-4B11-47EC-ABB0-4F8B7B1D72EA,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_S
Dataset_185,"GHSL: Global Human Settlement Layers, Built-Up Volume Grid 1975-2030 (P2023A)",EC JRC,JRC/GHSL/P2023A/GHS_BUILT_V,"built, builtup, ghsl, jrc, landsat-derived",https://doi.org/10.2905/AB2F107A-03CD-47A3-85E5-139D8EC63283,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_V
Dataset_186,GHS-POP R2023A - GHS population grid multitemporal (1975-2030),EC JRC,JRC/GHSL/P2023A/GHS_POP,"ghsl, jrc, population",https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_POP
Dataset_187,GHS-SMOD R2023A - Global Human Settlement Layers (1975-2030),EC JRC,JRC/GHSL/P2023A/GHS_SMOD,"ghsl, jrc, settlement",https://doi.org/10.2905/A0DF7A6F-49DE-46EA-9BDE-563437A6E2BA,https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_SMOD
Dataset_188,"JRC Global Surface Water Mapping Layers, v1.4",EC JRC / Google,JRC/GSW1_4/GlobalSurfaceWater,"geophysical, google, jrc, landsat-derived, surface, water",,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_GlobalSurfaceWater
Dataset_189,"JRC Global Surface Water Metadata, v1.4",EC JRC / Google,JRC/GSW1_4/Metadata,"geophysical, google, jrc, landsat-derived, surface, water",,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_Metadata
Dataset_190,"JRC Monthly Water History, v1.4",EC JRC / Google,JRC/GSW1_4/MonthlyHistory,"geophysical, google, history, jrc, landsat-derived, monthly, surface, water",,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_MonthlyHistory
Dataset_191,"JRC Monthly Water Recurrence, v1.4",EC JRC / Google,JRC/GSW1_4/MonthlyRecurrence,"geophysical, google, history, jrc, landsat-derived, monthly, surface, water",,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_MonthlyRecurrence
Dataset_192,"JRC Yearly Water Classification History, v1.4",EC JRC / Google,JRC/GSW1_4/YearlyHistory,"annual, geophysical, google, history, jrc, landsat-derived, surface, water, yearly",,https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_YearlyHistory
