ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_BERT,Top1_Similarity_BERT,Value_BERT0,Top1_Similarity_BERT0,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_GPT3.5,Usage
229,script_186562.txt,Function,Calculates NDVI for vegetation health assessment,Calculate Environmental And Vegetation Indices,0.721183777,Fractional Vegetation Cover (FVC) Calculation,0.999154806,Calculates Spatial Correlation,0.934961557,Calculate Environmental And Vegetation Indices,0.865526319,Calculate NDVI,4909
230,script_186562.txt,Function,Calculates NBR for burn severity mapping,Calculate Burned Area,0.700386584,Calculate dNBR For Fire Severity,0.999328554,Calculates Mean Of Image Collection,0.915398121,Burn Area Index Calculation,0.904602289,Calculate NBR,4909
231,script_186570.txt,Function,Calculates NDVI for each image in the collection,Calculate Statistical Indicators Of Image Collection,0.729035139,Creates Animation Of NDVI Over Time,0.998432517,Calculates Median Of Image Collection,0.933008552,Calculate Statistical Indicators Of Image Collection,0.869985878,Calculate Spectral Indices And Ratios From Satellite Bands,4968
232,script_186570.txt,Function,Calculates NBR for each image in the collection,Calculate Statistical Indicators Of Image Collection,0.700410008,Creates Animation Of NDVI Over Time,0.998205185,Calculates Median Of Image Collection,0.933863461,Calculate Statistical Indicators Of Image Collection,0.8662045,Calculate Spectral Indices And Ratios From Satellite Bands,4968
233,script_186570.txt,Function,Exports image properties to a CSV file,Exporting Classified Images,0.705709338,Create Image Composites To Minimize Cloud Cover,0.998673022,Creates Animation Of NDVI Over Time,0.908820808,Export Composite Image,0.875251591,Export Processed Images,4968
234,script_186570.txt,Function,Creates and exports a mosaic image,Creates And Exports Image Mosaics,0.860396326,Creates And Exports Image Mosaics,0.999584556,Creates And Exports Image Mosaics,0.93097496,Creates And Exports Image Mosaics,0.958590329,Generate Image Composites,4968
235,script_186570.txt,Function,Exports individual scenes as separate images,Export Selected Image,0.746681154,Export Processed Images To Google Drive,0.998834729,Converts Joined Data To Image Collection,0.90868783,Export Processed Images,0.876494169,Export Processed Images,4968
236,script_186601.txt,Function,Filtering images by polarization and date,Filter Images By Date And Region,0.815154791,Filter Images By Date And Region,0.999433517,Filter Image Collection By Date And Boundaries,0.891302586,Select Specific Polarization From Images,0.906894386,Select Specific Polarization From Images,4962
237,script_186601.txt,Function,Creating composites from different look angles,Visualize Images In Different Band Combinations,0.709214389,Create Median Composite Of Images,0.998805761,Generating Histograms,0.898725748,Displays Composite Image,0.872274518,Filter And Mosaic Landsat Images,4962
238,script_186605.txt,Function,NDVI calculation over image collection,Calculate Statistical Indicators Of Image Collection,0.724849582,Generate Time Series Data For NDVI Changes,0.999161243,Spectral Index Computation,0.919292688,Calculate Statistical Indicators Of Image Collection,0.886751473,Calculate Temporal Spectral Indices,4962
239,script_186605.txt,Function,NBR calculation over image collection,Calculate Statistical Indicators Of Image Collection,0.701480746,Calculate NBR For Pre-Fire Image,0.999100506,Ancillary Layer Computation,0.93136555,Calculate Statistical Indicators Of Image Collection,0.889515162,Calculate Difference Normalized Burn Ratio (dNBR),4962
240,script_186605.txt,Function,Export image properties to Drive,Export Processed Images To Drive,0.840914488,Export Processed Images To Drive,0.999331415,Export Processed Images To Drive,0.96585691,Export Processed Images To Drive,0.935121834,Export Processed Images To Drive,4962
241,script_186605.txt,Function,Create and export mosaic,Creates And Exports Image Mosaics,0.808704257,Export Mosaic,0.999154866,Filter And Visualize,0.879315615,Creates And Exports Image Mosaics,0.921076775,Generate Image Composites,4944
242,script_186605.txt,Function,Export individual scenes,Export Selected Image,0.744712472,Export Clipped Image,0.999255538,Export Training Data,0.930208385,Export Features,0.877610445,Export Processed Images,4944
243,script_186607.txt,Function,Calculates NDVI for vegetation health assessment,Calculate Environmental And Vegetation Indices,0.721183777,Fractional Vegetation Cover (FVC) Calculation,0.999154806,Calculates Spatial Correlation,0.934961557,Calculate Environmental And Vegetation Indices,0.865526319,Calculate NDVI,4944
244,script_186607.txt,Function,Calculates NBR for burn severity mapping,Calculate Burned Area,0.700386584,Calculate dNBR For Fire Severity,0.999328554,Calculates Mean Of Image Collection,0.915398121,Burn Area Index Calculation,0.904602289,Calculate NBR,4944
245,script_186815.txt,Function,NDVI calculation over image collection,Calculate Statistical Indicators Of Image Collection,0.724849582,Generate Time Series Data For NDVI Changes,0.999161243,Spectral Index Computation,0.919292688,Calculate Statistical Indicators Of Image Collection,0.886751473,Calculate Temporal Spectral Indices,4944
246,script_186815.txt,Function,NBR calculation over image collection,Calculate Statistical Indicators Of Image Collection,0.701480746,Calculate NBR For Pre-Fire Image,0.999100506,Ancillary Layer Computation,0.93136555,Calculate Statistical Indicators Of Image Collection,0.889515162,Calculate NBR For Pre-Fire Image,4942
247,script_186815.txt,Function,Export image properties to Drive,Export Processed Images To Drive,0.840914488,Export Processed Images To Drive,0.999331415,Export Processed Images To Drive,0.96585691,Export Processed Images To Drive,0.935121834,Export Processed Images To Drive,4942
248,script_186815.txt,Function,Create and export mosaic,Creates And Exports Image Mosaics,0.808704257,Export Mosaic,0.999154866,Filter And Visualize,0.879315615,Creates And Exports Image Mosaics,0.921076775,Generate Image Composites,4942
249,script_186815.txt,Function,Export individual scenes,Export Selected Image,0.744712472,Export Clipped Image,0.999255538,Export Training Data,0.930208385,Export Features,0.877610445,Export Processed Images,4942
250,script_186822.txt,Function,Buffering agricultural fields for analysis,Buffer Analysis,0.71783787,Generate Visualizations and Charts For Analysis,0.99905616,Filtering Soil Moisture Data,0.930967033,Identify Data Related To Agricultural,0.851839304,Buffering Points For Sample Expansion,4969
251,script_186822.txt,Function,Filtering and processing Sentinel-1 satellite data,Data Filtering,0.680005133,Visualize Multi-Temporal Satellite Data,0.998811841,Data Acquisition And Preprocessing,0.889470279,Spatial Filtering,0.847470164,Filtering Pixels,4964
252,script_186829.txt,Function,Masking forested areas in Landsat imagery,Vegetation Masking,0.717385828,Visualize Changes In Forest Cover Over Time,0.999154449,Mapping Cloud Cover,0.892169952,Vegetation Masking,0.881188989,Mask Application,4964
253,script_186829.txt,Function,Calculating mean temperature over time in forested regions,Forest Area Calculation,0.751966953,Visualize Changes In Forest Cover Over Time,0.99879241,Estimating Soil Loss,0.924905419,Forest Area Calculation,0.87157774,Calculate Mean Of Image Collection,4964
254,script_186856.txt,Function,Cloud masking algorithm for Sentinel-2 data,Image Cloud Masking,0.731621742,Calculate NBR For Pre-Fire Image,0.998866796,Feature Filtering And Mapping,0.860608995,Image Cloud Masking,0.876942396,Cloud And Shade Masking,4964
255,script_186856.txt,Function,Function to mask clouds using the Sentinel-2 QA band,Image Cloud Masking,0.671944737,Calculates Green Leaf Index (GLI),0.997977197,Calculate Data For Specific Spectral Bands,0.900475383,Cloud Filtering,0.869646788,Cloud And Cloud Shadow Masking,4964
256,script_186856.txt,Function,Function for finding dark outliers in time series,Identify Outlier Areas,0.681180716,Generate Time Series Charts For NDVI,0.998818576,Addition Of Spectral Indices,0.917202592,Time Series Anomaly Detection,0.868453622,Time Series Anomaly Detection,4957
257,script_186856.txt,Function,Implementation of Basic cloud shadow shift,Shadow Masking,0.679068804,Map Visualization Of Feature Collection,0.999019742,Cloud Correction Function,0.929546714,Shadow Projection,0.854855061,Image Cloud Masking,4957
258,script_186856.txt,Function,Function to bust clouds from S2 image,Filter Image Collection By Cloud Coverage,0.643678308,Reduction To Single Image,0.998793662,Select Specific Polarization From Images,0.940446258,Image Cloud Masking,0.879647255,Cloud And Shadow Removal,4957
259,script_186856.txt,Function,Function for simplifying data into daily mosaics,Reduction Of Feature Data,0.63891232,Convert Flood Detection Results To Vector Polygons,0.99867785,Link Maps For Synchronized Viewing,0.930157959,Data Filtering,0.80794239,Temporal Aggregation,4957
260,script_186886.txt,Function,NDVI calculation function,Visualize NDVI Results,0.709397197,Seasonal NDVI Analysis,0.999360323,Cloud Correction Function,0.935308456,Visualize NDVI Results,0.861442983,Calculate NDVI For Pre-Fire Image,4957
261,script_186886.txt,Function,NBR calculation function,Brightness Calculation,0.625863194,Pixel Count Calculation,0.998732924,Unit Conversion For Temperature Data,0.942130625,Boundary Statistics Calculation,0.833181798,Calculate Normalized Burn Ratio (NBR),4941
262,script_186886.txt,Function,Export image properties function,Export Selected Image,0.758765578,Combine Multiple Image Properties,0.998967946,Export Tiled Images,0.921581566,Export Composite Image,0.895761371,Export Processed Images,4941
263,script_186886.txt,Function,Create mosaic function,Creates And Exports Image Mosaics,0.684895754,Export Mosaic,0.999159098,Compute Maximum Values,0.92122227,Creates And Exports Image Mosaics,0.843904138,Generate Image Composites,4941
264,script_186888.txt,Function,Cloud masking using Fmask,Image Cloud Masking,0.775639057,Image Cloud Masking,0.999079347,Image Cloud Masking,0.928270936,Image Cloud Masking,0.913816214,Image Cloud Masking,4941
265,script_186888.txt,Function,Incoming shortwave radiation calculation,Radiance calculation,0.715207577,Radiometric Terrain Normalization,0.999014258,Emissivity Calculation,0.958303273,Calculate Minimum Backscatter,0.849006772,Solar Radiation Calculation,4941
266,script_186888.txt,Function,Radiance calculation,Radiance calculation,1,Radiance calculation,1,Radiance calculation,1.000000238,Radiance calculation,1,Radiance calculation,4949
267,script_186888.txt,Function,NDVI and NDWI calculation,Calculates Normalized Difference Water Index (NDWI),0.768138528,Visualize NDVI And Date Information,0.999054909,Image Fraction Calculation,0.903533697,Calculates Normalized Difference Water Index (NDWI),0.888811469,Calculate Spectral Indices And Ratios From Satellite Bands,4949
268,script_186888.txt,Function,Land surface temperature calculation,Temperature Calculation,0.785115898,Surface Temperature Calculation,0.999565363,Surface Temperature Calculation,0.976987123,Temperature Calculation,0.904494405,Surface Temperature Calculation,4949
269,script_186888.txt,Function,Plotting scatter values,Generate And Display A Scatter Plot,0.825715065,Calculates Spatial Correlation,0.999121249,Scaling Image Values,0.943805814,Generate And Display A Scatter Plot,0.899596572,Generate And Display A Scatter Plot,4949
270,script_186892.txt,Function,NDVI calculation over image collection,Calculate Statistical Indicators Of Image Collection,0.724849582,Generate Time Series Data For NDVI Changes,0.999161243,Spectral Index Computation,0.919292688,Calculate Statistical Indicators Of Image Collection,0.886751473,Generate Time Series Charts For NDVI,4949
271,script_186892.txt,Function,NBR calculation over image collection,Calculate Statistical Indicators Of Image Collection,0.701480746,Calculate NBR For Pre-Fire Image,0.999100506,Ancillary Layer Computation,0.93136555,Calculate Statistical Indicators Of Image Collection,0.889515162,Calculate NBR For Pre-Fire Image,4951
272,script_186892.txt,Function,Exporting image properties to Drive,Export Processed Images To Drive,0.843175352,Export Processed Images To Drive,0.999360919,Export Processed Images To Drive,0.902568102,Export Processed Images To Drive,0.929979444,Export Processed Images To Drive,4951
273,script_186892.txt,Function,Creating and exporting mosaic image,Creates And Exports Image Mosaics,0.843916535,Creates And Exports Image Mosaics,0.999313712,Generating Histograms,0.875560582,Creates And Exports Image Mosaics,0.936659932,Filter And Mosaic Landsat Images,4951
274,script_186892.txt,Function,Exporting individual scenes,Export Selected Image,0.742053211,Export Clipped Image,0.999153078,Exporting Classified Images,0.897832036,Export Features,0.865091741,Export Processed Images,4951
275,script_186892.txt,Function,Forest loss detection using Sentinel-2 imagery,Detects Forest Loss,0.782494783,Visualize Changes In Forest Cover Over Time,0.998858452,Nighttime light data analysis,0.907319844,Detects Forest Loss,0.900982738,Detects Forest Loss,4969
276,script_186914.txt,Function,Mosaic images before and after event,Generates Visual Comparisons Of Pre- And Post-Event Images,0.772171259,Filter Images By Date And Region,0.998773694,Mosaic Landsat Images,0.810961723,Generates Visual Comparisons Of Pre- And Post-Event Images,0.889561713,Generate Visualizations And Statistical Charts For Classification Results,4956
277,script_186914.txt,Function,Threshold radar intensities to identify flooded areas,Apply Threshold To Identify Water Surface,0.725649357,Apply Threshold To Identify Flood Extent,0.999224305,Radar Data Correction,0.896723211,Mask Areas To Refine Flood Detection,0.860998034,Apply Threshold To Identify Water Surface,4956
278,script_186914.txt,Function,Topological intersection to detect changes,Change Detection,0.743251681,Apply Threshold To Identify Water Surface,0.998960853,Buffering Points To Create Zones For Analysis,0.931363285,Change Detection,0.870159686,Intersection Of Geometries,4956
279,script_186914.txt,Function,Clean-up of false positive pixels,Filtering Pixels,0.712947011,Compute Median Of NDVI,0.998960137,Filter Image Collection By Date And Boundaries,0.846896172,Pixel Correction,0.880999386,Quality Masking,4956
280,script_186914.txt,Function,Convert pixels to polygons,Filtering Polygons,0.720405698,Convert Flood Detection Results To Vector Polygons,0.999258876,Convert Flood Detection Results To Vector Polygons,0.927109718,Pixel Area Calculation,0.872631133,Convert Raster To Vector,4956
281,script_186915.txt,Function,Image mosaic creation,Image Mosaicking,0.808325529,Binary Image Creation,0.999325275,Temporal Collection Creation,0.943384886,Image Mosaicking,0.905107141,Image Mosaicking,4955
282,script_186915.txt,Function,Thresholding to identify flooded areas,Apply Threshold To Identify Water Surface,0.794617355,Apply Threshold To Identify Flood Extent,0.999419034,Thresholding For Identification,0.865027905,Apply Threshold To Identify Water Surface,0.895609617,Threshold Application,4955
283,script_186915.txt,Function,Flooded area cleanup,Flood Area Calculation,0.686890125,Visualize Disaster Impacts,0.99903506,Affected Urban Area Estimation,0.900120914,Flood Area Calculation,0.835388064,Mask Application,4955
284,script_186940.txt,Function,Harmonization of Landsat 8 to Landsat 7 reflectance values,Harmonization Of Reflectance,0.704930782,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.998698235,Reduction Of Image Collection,0.891401768,Harmonization Of Images,0.798372328,Harmonization Transformation,4955
285,script_186940.txt,Function,Building annual Landsat image mosaics using medoid compositing,Mosaic Landsat Images,0.704133034,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.998906851,Feature Collection Sampling For Training,0.926974177,Mosaic Landsat Images,0.869662523,Annual Mosaick,4955
286,script_186974.txt,Function,Cloud masking for Landsat 5 and 7,Image Cloud Masking,0.751098752,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.998518109,Cloud And Shadow Removal,0.841419399,Image Cloud Masking,0.867072105,Image Cloud Masking,4959
287,script_186974.txt,Function,Band selection and renaming,Rename Image Bands,0.696442187,Image Band Manipulation,0.998988211,Addition Of Time Band,0.881879926,Rename Spectral Bands,0.909730077,Rename Image Bands,4959
288,script_186974.txt,Function,NDWI and MNDWI calculation,Calculates Modified Normalized Difference Water Index (MNDWI),0.790097833,Visualize NDVI And Date Information,0.998928189,Tasseled Cap index computation,0.912792802,Calculates Normalized Difference Water Index (NDWI),0.881415963,Calculate Normalized Difference Water Index (NDWI),4909
289,script_186974.txt,Function,Collection filtering and mean calculation,Filter And Buffer A Feature Collection,0.697776437,Calculates Mean Of Image Collection,0.999151945,Feature Filtering And Mapping,0.932052135,Compute Mean Values,0.872064233,Calculate Normalized Difference Water Index (NDWI),4959
290,script_187038.txt,Function,"Image collection filtering based on path, row, date, and cloud cover",Filter Image Collection By Cloud Coverage,0.811219096,"Merge, Harmonize, And Standardize Landsat Image Collections",0.99864471,Feature Filtering And Mapping,0.873782873,Filter Image Collection By Cloud Coverage,0.963981688,Filter Image Collection By Date And Region,4969
291,script_187038.txt,Function,Cloud cover calculation and filtering,Computes Percentage Of Cloud Cover,0.805891097,Cloud And Shade Masking,0.999404252,Feature Filtering And Mapping,0.931630492,Cloud Filtering,0.917789936,Cloud Probability Masking,4947
292,script_187038.txt,Function,Land cover classification based on band thresholds,Land Cover Classification And Mapping,0.765962243,Merge Different Land Cover Feature Collections,0.99878633,Elevation Thresholding,0.93501246,Land Cover Classification And Mapping,0.882912695,Threshold Application,4947
293,script_187038.txt,Function,Exporting final classified image and metadata,Exporting Classified Images,0.835010886,Convert And Format Spatial Data For Export,0.999159157,Exporting Classified Images,0.915998876,Exporting Classified Images,0.913788438,Exporting Classification Results,4947
294,script_187125.txt,Function,Image preprocessing for water detection,Filter And Process Images For Water Detection,0.860937357,Filter And Process Images For Water Detection,0.9992612,Filter And Process Images For Water Detection,0.934581995,Filter And Process Images For Water Detection,0.916364789,Filter And Process Images For Water Detection,4947
295,script_187125.txt,Function,Threshold computation using Otsu method,Otsu Thresholding,0.903469682,Tasseled Cap index computation,0.999016106,Vectorization,0.940975726,Threshold Computation,0.905297339,Threshold Application,4947
296,script_187131.txt,Function,Creating vector masks for burned areas,Identifying Burned Areas,0.750811458,Link Maps For Synchronized Viewing,0.998999715,Identifying Burned Areas,0.943855345,Burn Masking,0.897254586,Image Masking,4960
297,script_187131.txt,Function,Generating cloud masks for Landsat images,Image Cloud Masking,0.763484955,Computes Percentage Of Cloud Cover,0.999200821,Generate Time Series Charts Of Temperature Data,0.8821491,Image Cloud Masking,0.886880279,Image Cloud Masking,4960
298,script_187131.txt,Function,Calculating NBR indices for pre- and post-fire composites,Burn Area Index Calculation,0.634780169,Compute Difference Between Pre- And Post-Fire NBR,0.999128699,Estimating Phenology Metrics,0.888030946,Burn Area Index Calculation,0.865589321,Calculate NBR For Pre-Fire Image,4960
299,script_187137.txt,Function,Data transformation from Kelvin to Celsius,Visualize Temperature Data,0.675713956,Convert Flood Detection Results To Vector Polygons,0.99855566,Unit Conversion For Temperature Data,0.924435735,Data Conversion,0.871935308,Unit Conversion For Temperature Data,4960
300,script_187137.txt,Function,Image collection filtering by date and aggregation,Filter Image Collection By Date And Boundaries,0.853800416,Filter Image Collection By Date And Boundaries,0.999493957,Filter Image Collection By Cloud Coverage,0.921944141,Filter Image Collection By Date And Boundaries,0.954541087,Temporal Image Collection Filtering,4960
301,script_187138.txt,Function,Masking forested areas in Landsat imagery,Vegetation Masking,0.717385828,Visualize Changes In Forest Cover Over Time,0.999154449,Mapping Cloud Cover,0.892169952,Vegetation Masking,0.881188989,Mask Application,4950
302,script_187138.txt,Function,Calculating mean temperature over time for forested regions,Forest Area Calculation,0.755265057,Link Maps For Synchronized Viewing,0.998632789,Estimating Watersheds Area,0.917654157,Forest Area Calculation,0.871257663,Calculate Mean Values,4950
303,script_187226.txt,Function,Calculating cloud scores for Sentinel-2 images,Cloud Score Computation,0.726855993,Visualize Elevation Data (DEM),0.998889506,Calculate Spectral Indices And Ratios From Satellite Bands,0.877229631,Cloud Score Computation,0.909960389,Cloud Score Computation,4950
304,script_187226.txt,Function,Generating shadow masks based on solar geometry,Shadow Masking,0.76657939,Derive Land Surface Temperature Using Thermal Properties,0.998914421,Filtering Training Data,0.880423307,Flood Mask Generation,0.84823513,Shadow Projection,4950
305,script_187248.txt,Function,Cloud mask creation,Image Cloud Masking,0.783910036,Cloud Correction Function,0.999324083,Temporal Collection Creation,0.939668477,Flood Mask Generation,0.881559968,Image Cloud Masking,4950
306,script_187248.txt,Function,Image collection filtering,Filter Image Collection,0.88791275,Filter Image Collection,0.999664903,Temporal Image Collection Filtering,0.983245134,Filter Image Collection,0.987343848,Filter Image Collection,4935
307,script_187248.txt,Function,NDVI calculation,Visualize NDVI Results,0.738414049,Seasonal NDVI Analysis,0.999515414,Pixel Count Calculation,0.960101128,Visualize NDVI Results,0.871041358,Calculate NDVI,4935
308,script_187248.txt,Function,Thermal band selection,Selects Temperature Data,0.696793914,Image Band Manipulation,0.998921335,Significance Testing,0.965235531,Selects Temperature Data,0.871131897,Select Specific Bands From Images,4935
309,script_187248.txt,Function,NDVI min-max extraction,Visualize NDVI Results,0.678878605,Visualize NDVI And Date Information,0.999049544,Burn Date Extraction,0.899764538,"Maximum, Minimum And Mean Statistical Analysis (NDVI and Vegetation Indices)",0.866769254,Calculate NDVI,4935
310,script_187248.txt,Function,Fractional vegetation calculation,Compute Emissivity From Vegetation Fraction,0.792343497,Fractional Vegetation Calculation,0.999999881,Fractional Vegetation Calculation,1.000000119,Compute Emissivity From Vegetation Fraction,0.887295008,Calculate Fractional Vegetation Cover,4935
311,script_187248.txt,Function,Emissivity calculation,Emissivity Calculation,0.976843476,Emissivity Calculation,1,Emissivity Calculation,1,Emissivity Calculation,0.991198778,Image Band Manipulation,4933
312,script_187248.txt,Function,LST calculation,Slope calculation,0.626732767,Pixel Count Calculation,0.998846889,Difference Calculation,0.959557712,Vegetation Indices/Index Calculation,0.854742765,Image Band Manipulation,4933
313,script_187248.txt,Function,Legend creation,Legend Creation,0.897313237,Legend Creation,1.000000119,Legend Creation,1,Legend Creation,0.994502544,Legend Creation,4933
314,script_187248.txt,Function,Map interaction setup,Display Interactive Map,0.72697264,Image Band Manipulation,0.998798668,Harmonization Transformation,0.958110094,Display Interactive Map,0.870592952,Map Visualization Of Feature Collection,4933
315,script_187481.txt,Function,Backscatter value filtering,Calculate Minimum Backscatter,0.741391063,Calculate Minimum Backscatter,0.999346614,Temporal Image Collection Filtering,0.955503762,Data Filtering,0.893012643,Radar Image Noise Reduction,4933
316,script_187481.txt,Function,Image smoothing,Image Scaling,0.773698807,Image Correction,0.999343872,Temporal Smoothing,0.978087783,Smoothing,0.912097335,Smoothing,4930
317,script_187481.txt,Function,Histogram generation,Generating Histograms,0.89174813,Generating Histograms,0.999521136,Radiance calculation,0.953790188,Generating Histograms,0.962591171,Generating Histograms,4930
318,script_187523.txt,Function,Backscatter value thresholding for flood detection,Calculate Minimum Backscatter,0.727449715,Terrain Occlusion Masking,0.998962879,Cloud Probability Masking,0.925601006,Mask Areas To Refine Flood Detection,0.863639832,Threshold Application,4930
319,script_187523.txt,Function,Image smoothing for noise reduction,Radar Image Noise Reduction,0.737341046,Radar Image Noise Reduction,0.999050856,Image Reduction,0.958432913,Radar Image Noise Reduction,0.892860115,Smoothing,4930
320,script_187523.txt,Function,Histogram generation for visualization,Generating Histograms,0.867229819,Generating Histograms,0.999275863,Data Visualization,0.946790934,Generating Histograms,0.947849214,Generating Histograms,4930
321,script_187528.txt,Function,Backscatter value filtering,Calculate Minimum Backscatter,0.741391063,Calculate Minimum Backscatter,0.999346614,Temporal Image Collection Filtering,0.955503762,Data Filtering,0.893012643,Noise Reduction,4943
322,script_187528.txt,Function,Image smoothing for flood detection,Filter And Process Images For Water Detection,0.717014432,Image Cloud Masking,0.999024272,Temporal Image Collection Filtering,0.932484388,Mask Areas To Refine Flood Detection,0.867729068,Focal Median Smoothing,4943
323,script_187530.txt,Function,Backscatter value filtering for flood detection,Filtering Precipitation Data,0.700444639,Terrain Occlusion Masking,0.998945594,Cloud Probability Masking,0.936160266,Mask Areas To Refine Flood Detection,0.880395055,Noise Reduction,4943
324,script_187530.txt,Function,Image smoothing for better visualization,Enhancing Image Visualization,0.822530508,Visualize Radar Images With Specific Visualization Parameters,0.999039829,Image Normalization,0.943683743,Enhancing Image Visualization,0.912462771,Smoothing,4943
325,script_187532.txt,Function,Image collection filtering by polarization and date,Filter Image Collection By Date And Boundaries,0.827815771,Filter Image Collection By Date And Region,0.999478698,Filter Image Collection By Date And Region,0.937933564,Temporal Image Collection Filtering,0.932074368,Filter And Mosaic Landsat Images,4943
326,script_187532.txt,Function,Image smoothing using focal median,Focal Median Smoothing,0.749011517,Focal Median Smoothing,0.99911356,Temporal Smoothing,0.942540646,Focal Median Smoothing,0.920741796,Spatial Smoothing,4951
327,script_187532.txt,Function,Image division for band ratio calculation,Image Fraction Calculation,0.737688363,Calculates Median Of Image Collection,0.999080002,Pixel Area Calculation,0.959795177,Image Fraction Calculation,0.918586731,Image Band Manipulation,4951
328,script_187532.txt,Function,Histogram generation for backscatter analysis,Generating Histograms,0.738864541,Generate Histograms For Image Data Analysis,0.998992324,Texture Analysis,0.935014665,Generating Histograms,0.917957604,Generate Histograms,4951
329,script_187533.txt,Function,Image collection filtering based on polarization and date,Filter Image Collection By Date And Boundaries,0.819616735,Filter Image Collection By Date And Region,0.999378204,Filter Image Collection By Date And Region,0.914868832,Temporal Image Collection Filtering,0.934789658,Filter Image Collection By Date And Polarization,4951
330,script_187533.txt,Function,Image smoothing using focal median filter,Applying Mean Filter To Image,0.773539662,Calculate Median Filtering And Smoothing,0.998892248,Image Band Normalization,0.939275444,Focal Median Smoothing,0.907862782,Focal Median Smoothing,4951
331,script_187533.txt,Function,Histogram generation for backscatter values,Generating Histograms,0.751494288,Generate Histograms For Image Data Analysis,0.998995543,Image Index Calculation,0.916140318,Generating Histograms,0.921524346,Generate Histograms,4957
332,script_187534.txt,Function,Image collection filtering based on polarization and date,Filter Image Collection By Date And Boundaries,0.819616735,Filter Image Collection By Date And Region,0.999378204,Filter Image Collection By Date And Region,0.914868832,Temporal Image Collection Filtering,0.934789658,Filter Image Collection By Polarization And Date,4957
333,script_187534.txt,Function,Image smoothing using focal median filter,Applying Mean Filter To Image,0.773539662,Calculate Median Filtering And Smoothing,0.998892248,Image Band Normalization,0.939275444,Focal Median Smoothing,0.907862782,Focal Median Smoothing,4957
334,script_187534.txt,Function,Histogram generation for backscatter values,Generating Histograms,0.751494288,Generate Histograms For Image Data Analysis,0.998995543,Image Index Calculation,0.916140318,Generating Histograms,0.921524346,Generate Histograms,4957
335,script_187535.txt,Function,Data filtering based on polarization and date,Filter Images By Date And Region,0.745675921,Filter Image Collection By Date And Boundaries,0.999124229,Filter Image Collection By Date And Region,0.903057694,Temporal Data Filtering,0.900992513,Filter Image Collection By Polarization And Date,4957
336,script_187535.txt,Function,Image smoothing for noise reduction,Radar Image Noise Reduction,0.737341046,Radar Image Noise Reduction,0.999050856,Image Reduction,0.958432913,Radar Image Noise Reduction,0.892860115,Smoothing,4940
337,script_187535.txt,Function,Histogram generation for visualization,Generating Histograms,0.867229819,Generating Histograms,0.999275863,Data Visualization,0.946790934,Generating Histograms,0.947849214,Generate Histograms,4940
338,script_187582.txt,Function,Cloud masking using Sentinel-2 QA band,Image Cloud Masking,0.689129472,Filter Images By Date And Region,0.998902798,Filter Image Collection By Cloud Coverage,0.915519893,Cloud Filtering,0.870125055,Image Cloud Masking,4940
339,script_187582.txt,Function,Vegetation index computation,Vegetation Indices/Index Calculation,0.910810053,Add Vegetation Indices,0.999146879,Spectral Index Computation,0.962622225,Vegetation Indices/Index Calculation,0.963774681,Vegetation Indices/Index Calculation,4940
340,script_187582.txt,Function,Classification training and mapping,Training And Sampling For Land Cover Classification,0.787095189,Classification And Machine Learning,0.999086857,Training And Sampling For Land Cover Classification,0.91397655,Classification And Machine Learning,0.908218145,Machine Learning Classification,4940
341,script_187585.txt,Function,Filter and calculate average EVI for each year,Calculate Environmental And Vegetation Indices,0.617173553,Buffering Points To Create Zones For Analysis,0.998830795,Calculate Normalized Difference And Other Indices,0.918951869,Compute Mean Values,0.817484081,Temporal Analysis,4950
342,script_187585.txt,Function,Perform Principal Component Analysis (PCA),Principal Component Analysis (PCA),0.932479143,Principal Component Analysis (PCA),0.999820411,Generate Time Series Charts Of Corrected Data,0.896275103,Principal Component Analysis (PCA),0.963919401,Principal Component Analysis (PCA),4950
343,script_187586.txt,Function,Filter and calculate average EVI for each year,Calculate Environmental And Vegetation Indices,0.617173553,Buffering Points To Create Zones For Analysis,0.998830795,Calculate Normalized Difference And Other Indices,0.918951869,Compute Mean Values,0.817484081,Temporal Analysis,4950
344,script_187586.txt,Function,Perform Principal Component Analysis,Principal Component Analysis (PCA),0.737293839,Seasonal NDVI Analysis,0.999139667,Calculate Features To Refine Flood Analysis,0.925006568,Principal Component Analysis (PCA),0.910256684,Principal Component Analysis (PCA),4950
345,script_187587.txt,Function,Filter and calculate average EVI for each year,Calculate Environmental And Vegetation Indices,0.617173553,Buffering Points To Create Zones For Analysis,0.998830795,Calculate Normalized Difference And Other Indices,0.918951869,Compute Mean Values,0.817484081,Temporal Analysis,4950
346,script_187587.txt,Function,Perform PCA on the processed data,Principal Component Analysis (PCA),0.713331282,Export Processed Images To Drive,0.998550832,Generate Time Series Charts Of Corrected Data,0.946173429,Principal Component Analysis (PCA),0.894769728,Principal Component Analysis (PCA),4944
347,script_187738.txt,Function,Training random forest classifier,Training And Sampling For Land Cover Classification,0.716902077,Training CART Classifier,0.999393761,Training CART Classifier,0.945009887,Machine Learning Model Training,0.879335046,Random Forest Classification,4944
