ancestor_note,sub_note,similarity
VORTICITY ADVECTION,VORTICITY,0.934542359
WIND SHEAR,OCEAN WINDS,0.786853286
HORIZONTAL WIND SHEAR,WIND SHEAR,0.934542359
VERTICAL WIND SHEAR,WIND SHEAR,0.934542359
WIND STRESS,OCEAN WINDS,0.786853286
WIND INDICES,ATMOSPHERIC WINDS,0.696968877
GOES WIND INDEX,WIND INDICES,0.908396025
QUASI-BIENNIAL OSCILLATION (QBO) ZONAL WIND INDEX,WIND INDICES,0.908396025
WIND PROFILES,ATMOSPHERIC WINDS,0.729312371
LINE OF SIGHT WINDS,WIND PROFILES,0.873570489
VELOCITY AZIMUTH DISPLAY VERTICAL WIND PROFILES,WIND PROFILES,0.873570489
WIND DIRECTION PROFILES,WIND PROFILES,0.873570489
WIND VELOCITY/SPEED PROFILES,WIND PROFILES,0.873570489
CLOUDS,ATMOSPHERE,0.657476987
CLOUD DROPLET DISTRIBUTION,CLOUDS,0.60812754
CLOUD DYNAMICS,CLOUDS,0.70087534
MOISTURE FLUX,CLOUD DYNAMICS,0.856792623
DOWNWARD MOISTURE FLUX,MOISTURE FLUX,0.925499031
UPWARD MOISTURE FLUX,MOISTURE FLUX,0.925499031
RADIATIONAL COOLING,CLOUD DYNAMICS,0.830643883
RADIATIONAL DIVERGENCE,CLOUD DYNAMICS,0.830643883
THETA-E ENTRAINMENT,CLOUD DYNAMICS,0.830643883
VORTEX STREET,CLOUD DYNAMICS,0.830643883
KARMAN VORTEX STREET,VORTEX STREET,0.952202293
WATER VAPOR TRANSPORT,CLOUD DYNAMICS,0.830643883
CLOUD MICROPHYSICS,CLOUDS,0.733748693
CLOUD DROPLET CONCENTRATION/SIZE,CLOUD MICROPHYSICS,0.796158911
CLOUD LIQUID WATER/ICE,CLOUD MICROPHYSICS,0.796158911
CLOUD MASS FLUX,CLOUD MICROPHYSICS,0.796158911
CLOUD OPTICAL DEPTH/THICKNESS,CLOUD MICROPHYSICS,0.796158911
CLOUD PRECIPITABLE WATER,CLOUD MICROPHYSICS,0.796158911
COLLISION RATE,CLOUD MICROPHYSICS,0.796158911
DROPLET GROWTH,CLOUD RADIATIVE TRANSFER,0.839505817
ACCRETION,COASTAL PROCESSES,0.758711478
RIMING,ACCRETION,0.952202293
AGGREGATION,DROPLET GROWTH,0.952202293
COALESCENCE,DROPLET GROWTH,0.952202293
ICE NUCLEI,CLOUD MICROPHYSICS,0.796158911
PARTICLE SIZE DISTRIBUTION,CLOUD MICROPHYSICS,0.796158911
SEDIMENTATION,GLACIAL PROCESSES,0.788124066
SEDIMENTATION RATE,SEDIMENTATION,0.925499031
CLOUD PROPERTIES,CLOUDS,0.744299272
CLOUD AMOUNT,CLOUD PROPERTIES,0.785332967
CLOUD ASYMMETRY,CLOUD PROPERTIES,0.785332967
CLOUD BASE HEIGHT,CLOUD PROPERTIES,0.785332967
CLOUD BASE PRESSURE,CLOUD PROPERTIES,0.785332967
CLOUD BASE TEMPERATURE,CLOUD PROPERTIES,0.785332967
CLOUD CEILING,CLOUD PROPERTIES,0.785332967
CLOUD FRACTION,CLOUD PROPERTIES,0.785332967
CLOUD FREQUENCY,CLOUD PROPERTIES,0.785332967
CLOUD HEIGHT,CLOUD PROPERTIES,0.785332967
CLOUD MIDLAYER TEMPERATURE,CLOUD PROPERTIES,0.785332967
CLOUD TOP HEIGHT,CLOUD PROPERTIES,0.785332967
CLOUD TOP PHASE,CLOUD PROPERTIES,0.785332967
CLOUD TOP PRESSURE,CLOUD PROPERTIES,0.785332967
CLOUD TOP TEMPERATURE,CLOUD PROPERTIES,0.785332967
CLOUD VERTICAL DISTRIBUTION,CLOUD PROPERTIES,0.785332967
CLOUD RADIATIVE TRANSFER,CLOUDS,0.692603424
CLOUD EMISSIVITY,CLOUD RADIATIVE TRANSFER,0.839505817
CLOUD RADIATIVE FORCING,CLOUD RADIATIVE TRANSFER,0.839505817
CLOUD REFLECTANCE,CLOUD RADIATIVE TRANSFER,0.839505817
EMISSION,CLOUD RADIATIVE TRANSFER,0.839505817
CLOUD TYPES,CLOUDS,0.60812754
CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),CLOUDS,0.744299272
CLOUD CLUSTERS,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.785332967
CUMULONIMBUS,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.830332666
CUMULONIMBUS CALVUS,CUMULONIMBUS,0.905712131
CUMULONIMBUS CAPILLATUS,CUMULONIMBUS,0.905712131
CUMULONIMBUS INCUS,CUMULONIMBUS CAPILLATUS,0.962863434
PYROCUMULONIMBUS,CUMULONIMBUS,0.905712131
CUMULUS,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.859129342
CUMULUS CASTELLANUS,CUMULUS,0.876553714
CUMULUS CONGESTUS,CUMULUS,0.876553714
TOWERING CUMULUS,CUMULUS CONGESTUS,0.962863434
CUMULUS HUMILIS,CUMULUS,0.876553714
FAIR WEATHER CUMULUS,CUMULUS HUMILIS,0.962863434
CUMULUS MEDIOCRIS,CUMULUS,0.876553714
PYROCUMULUS,CUMULUS,0.876553714
DEEP CONVECTIVE CLOUD SYSTEMS,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.785332967
MESOSCALE CONVECTIVE COMPLEX,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.785332967
PERCENT CONVECTIVE CLOUDS,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.785332967
PRECIPITATING CONVECTIVE CLOUD SYSTEMS,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.785332967
SQUALL LINE,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.785332967
TROPICAL OCEANIC CLOUD SYSTEMS,CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED),0.785332967
MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),CLOUDS,0.630624132
NOCTILUCENT CLOUDS,MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),0.908396025
POLAR MESOSPHERIC CLOUDS,MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),0.908396025
STRATOSPHERIC CLOUDS (OBSERVED/ANALYZED),CLOUDS,0.60812754
POLAR STRATOSPHERIC CLOUDS/NACREOUS,STRATOSPHERIC CLOUDS (OBSERVED/ANALYZED),0.934542359
TROPOSPHERIC/HIGH-LEVEL CLOUDS (OBSERVED/ANALYZED),CLOUDS,0.68345854
CIRROCUMULUS,TROPOSPHERIC/HIGH-LEVEL CLOUDS (OBSERVED/ANALYZED),0.849391573
CIRROSTRATUS,TROPOSPHERIC/HIGH-LEVEL CLOUDS (OBSERVED/ANALYZED),0.849391573
CIRRUS/SYSTEMS,TROPOSPHERIC/HIGH-LEVEL CLOUDS (OBSERVED/ANALYZED),0.875688529
CIRRUS CLOUD SYSTEMS,CIRRUS/SYSTEMS,0.925499031
CIRRUS KELVIN-HELMHOLTZ COLOMBIAH,CIRRUS/SYSTEMS,0.925499031
CONTRAILS,TROPOSPHERIC/HIGH-LEVEL CLOUDS (OBSERVED/ANALYZED),0.849391573
PILEUS,TROPOSPHERIC/HIGH-LEVEL CLOUDS (OBSERVED/ANALYZED),0.849391573
TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED),CLOUDS,0.753860626
FOG,WEATHER EVENTS,0.585034662
ADVECTION FOG,FOG,0.934542359
FRONTAL FOG,FOG,0.934542359
ICE FOG,FOG,0.934542359
RADIATION FOG,FOG,0.934542359
STEAM FOG,FOG,0.934542359
UPSLOPE FOG,FOG,0.934542359
NIMBOSTRATUS,TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED),0.775620894
STRATOCUMULUS,TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED),0.888294411
MARINE STRATOCUMULUS,STRATOCUMULUS,0.837529563
STRATOCUMULUS CUMILIFORMIS,STRATOCUMULUS,0.899955997
STRATOCUMULUS CASTELLANUS,STRATOCUMULUS CUMILIFORMIS,0.899642047
STRATOCUMULUS DIURNALIS,STRATOCUMULUS CUMILIFORMIS,0.899642047
STRATOCUMULUS MAMMATUS,STRATOCUMULUS CUMILIFORMIS,0.899642047
STRATOCUMULUS VESPERALIS,STRATOCUMULUS CUMILIFORMIS,0.899642047
STRATOCUMULUS UNDULATAS,STRATOCUMULUS,0.899955997
STRATOCUMULUS LENTICULARIS,STRATOCUMULUS UNDULATAS,0.899642047
STRATOCUMULUS OPACUS,STRATOCUMULUS UNDULATAS,0.899642047
STRATOCUMULUS PERLUCIDUS,STRATOCUMULUS UNDULATAS,0.899642047
STRATOCUMULUS TRANSLUCIDUS,STRATOCUMULUS UNDULATAS,0.899642047
STRATUS,TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED),0.775620894
TROPOSPHERIC/MID-LEVEL CLOUDS (OBSERVED/ANALYZED),CLOUDS,0.661451708
ALTOCUMULUS,TROPOSPHERIC/MID-LEVEL CLOUDS (OBSERVED/ANALYZED),0.919797575
ALTOCUMULUS CASTELLANUS,ALTOCUMULUS,0.905712131
ALTOCUMULUS LENTICULARIS,ALTOCUMULUS,0.905712131
LENTICULAR CLOUDS,ALTOCUMULUS LENTICULARIS,0.962863434
ALTOCUMULUS UNDULATUS,ALTOCUMULUS,0.905712131
ALTOSTRATUS,TROPOSPHERIC/MID-LEVEL CLOUDS (OBSERVED/ANALYZED),0.873570489
ALTOSTRATUS UNDULATUS,ALTOSTRATUS,0.952202293
PRECIPITATION,OCEAN SALINITY BUDGET,0.854904945
ACCUMULATIVE CONVECTIVE PRECIPITATION,PRECIPITATION,0.962863434
CENTRAL INDIAN PRECIPITATION INDEX,ATMOSPHERIC PRECIPITATION INDICES,0.906081225
ENSO PRECIPITATION INDEX,PRECIPITATION INDICES,0.873570489
STANDARDIZED PRECIPITATION INDEX,PRECIPITATION INDICES,0.873570489
WEIGHTED ANOMALY STANDARDIZED PRECIPITATION INDEX,PRECIPITATION INDICES,0.873570489
DROPLET SIZE,PRECIPITATION,0.962863434
HYDROMETEORS,PRECIPITATION,0.962863434
LIQUID PRECIPITATION,PRECIPITATION,0.962863434
DRIZZLE,LIQUID PRECIPITATION,0.969915847
FREEZING DRIZZLE,DRIZZLE,0.974885865
LIQUID SURFACE PRECIPITATION RATE,LIQUID PRECIPITATION,0.969915847
RAIN,LIQUID PRECIPITATION,0.969915847
ACID RAIN,CONTAMINANTS,0.744274356
FREEZING RAIN,RAIN,0.974885865
LIQUID WATER EQUIVALENT,PRECIPITATION,0.962863434
12 HOUR PRECIPITATION AMOUNT,PRECIPITATION AMOUNT,0.906081225
24 HOUR PRECIPITATION AMOUNT,PRECIPITATION AMOUNT,0.906081225
3 AND 6 HOUR PRECIPITATION AMOUNT,PRECIPITATION AMOUNT,0.906081225
HOURLY PRECIPITATION AMOUNT,PRECIPITATION AMOUNT,0.906081225
PRECIPITATION ANOMALIES,PRECIPITATION,0.962863434
CLOUD WATER PATH,PRECIPITATION PROFILES,0.880608133
ICE WATER PATH,PRECIPITATION PROFILES,0.880608133
LATENT HEAT FLUX,HEAT FLUX,0.934542359
MELTING LAYER HEIGHT,PRECIPITATION PROFILES,0.880608133
RAIN TYPE,PRECIPITATION PROFILES,0.880608133
RAIN WATER PATH,PRECIPITATION PROFILES,0.880608133
CONVECTIVE PRECIPITATION,PRECIPITATION RATE,0.922344743
FROZEN PRECIPITATION,PRECIPITATION RATE,0.922344743
SURFACE PRECIPITATION,PRECIPITATION RATE,0.922344743
SNOW WATER EQUIVALENT,SNOW/ICE,0.716832502
SOLID PRECIPITATION,PRECIPITATION,0.962863434
CONVECTIVE SURFACE PRECIPITATION RATE,SOLID PRECIPITATION,0.969915847
HAIL,SOLID PRECIPITATION,0.969915847
ICE PELLETS,SOLID PRECIPITATION,0.997439228
SLEET,ICE PELLETS,0.947396727
SMALL HAIL,ICE PELLETS,0.947396727
SNOW,SOLID PRECIPITATION,0.969915847
SNOW GRAINS,SNOW,0.974885865
SNOW PELLETS,SNOW,0.974885865
TOTAL SURFACE PRECIPITATION RATE,PRECIPITATION,0.962863434
VIRGA,PRECIPITATION,0.962863434
WEATHER EVENTS,ATMOSPHERE,0.682051006
COLD WAVE,WEATHER EVENTS,0.585034662
DROUGHTS,NATURAL HAZARDS,0.776598704
DROUGHT DURATION,DROUGHTS,0.88905287
DROUGHT FREQUENCY,DROUGHTS,0.88905287
DROUGHT SEVERITY,DROUGHTS,0.88905287
EXTRATROPICAL CYCLONES,WEATHER EVENTS,0.623701747
EXTRATROPICAL CYCLONE FREQUENCY,EXTRATROPICAL CYCLONES,0.88905287
EXTRATROPICAL CYCLONE MOTION,EXTRATROPICAL CYCLONES,0.88905287
EXTRATROPICAL CYCLONE TRACK,EXTRATROPICAL CYCLONES,0.88905287
FREEZE/FROST,WEATHER EVENTS,0.667841863
FIRST FREEZE/FROST DATE,FREEZE/FROST,0.839505817
FIRST FREEZE/FROST PROBABILITY,FREEZE/FROST,0.839505817
FIRST MODERATE FREEZE/FROST DATE,FREEZE/FROST,0.839505817
FREEZE FREE PERIOD LENGTH,FREEZE/FROST,0.839505817
LAST FREEZE/FROST DATE,FREEZE/FROST,0.839505817
LAST FREEZE/FROST PROBABILITY,FREEZE/FROST,0.839505817
LAST MODERATE FREEZE/FROST DATE,FREEZE/FROST,0.839505817
HAIL STORMS,WEATHER EVENTS,0.585034662
HEAT WAVE,WEATHER EVENTS,0.585034662
ICE STORMS,WEATHER EVENTS,0.585034662
TOTAL FREEZING RAIN ACCUMULATION,ICE STORMS,0.934542359
MONSOONS,WEATHER EVENTS,0.585034662
RAIN STORMS,WEATHER EVENTS,0.585034662
SNOW STORMS,WEATHER EVENTS,0.623701747
BLIZZARDS,SNOW STORMS,0.88905287
BLOWING SNOW,SNOW/ICE,0.716832502
LAKE EFFECT SNOW,SNOW STORMS,0.88905287
SUBTROPICAL CYCLONES,WEATHER EVENTS,0.623701747
SUBTROPICAL DEPRESSION,SUBTROPICAL CYCLONES,0.88905287
SUBTROPICAL DEPRESSION TRACK,SUBTROPICAL DEPRESSION,0.952202293
SUBTROPICAL STORM,SUBTROPICAL CYCLONES,0.915600621
SUBTROPICAL STORM MOTION,SUBTROPICAL STORM,0.925499031
SUBTROPICAL STORM TRACK,SUBTROPICAL STORM,0.925499031
Stability/Severe Weather Indices,WEATHER EVENTS,0.648785288
CONVECTIVE AVAILABLE POTENTIAL ENERGY (CAPE),Stability/Severe Weather Indices,0.860596437
K-index (KI),Stability/Severe Weather Indices,0.860596437
LIFTED INDEX (LI),Stability/Severe Weather Indices,0.860596437
SHOWALTER STABILITY INDEX (SI),Stability/Severe Weather Indices,0.860596437
TOTAL TOTALS INDEX (TT),Stability/Severe Weather Indices,0.860596437
TORNADOES,NATURAL HAZARDS,0.733504487
DESTRUCTION POTENTIAL INDEX,TORNADOES,0.934542359
ENHANCED FUJITA SCALE RATING,TORNADOES,0.934542359
STORM SYSTEM MOTION,TORNADOES,0.934542359
TORNADO CLIMATOLOGY,TORNADOES,0.934542359
TORNADO DENSITY,TORNADOES,0.934542359
TORNADO FREQUENCY,TORNADOES,0.934542359
TORNADO PATH LENGTH,TORNADOES,0.934542359
TORNADO PATH WIDTH,TORNADOES,0.934542359
TORNADO VORTEX SIGNATURE,TORNADOES,0.934542359
WATER SPOUT,TORNADOES,0.934542359
TROPICAL CYCLONES,NATURAL HAZARDS,0.804238122
ACCUMULATED CYCLONE ENERGY,TROPICAL CYCLONES,0.936015257
CYCLONES (SW INDIAN),TROPICAL CYCLONE TRACK,0.876553714
HURRICANES (N. ATLANTIC/E. PACIFIC),TROPICAL CYCLONE TRACK,0.876553714
SEVERE CYCLONIC STORMS (N. INDIAN),TROPICAL CYCLONE TRACK,0.876553714
SEVERE TROPICAL CYCLONES (SW PACIFIC/SE INDIAN),TROPICAL CYCLONE TRACK,0.876553714
TYPHOONS (WESTERN N. PACIFIC),TROPICAL CYCLONE TRACK,0.876553714
LANDFALL INTENSITY,TROPICAL CYCLONES,0.936015257
MAXIMUM 1-MINUTE SUSTAINED WIND,TROPICAL CYCLONES,0.936015257
MAXIMUM SURFACE WIND,TROPICAL CYCLONES,0.936015257
MAXIMUM WIND GUST,TROPICAL CYCLONES,0.936015257
MINIMUM CENTRAL PRESSURE,TROPICAL CYCLONES,0.936015257
PEAK INTENSITY,TROPICAL CYCLONES,0.936015257
SAFFIR-SIMPSON SCALE AT LANDFALL (CATEGORY 1),TROPICAL CYCLONES,0.860596437
SAFFIR-SIMPSON SCALE AT LANDFALL (CATEGORY 2),TROPICAL CYCLONES,0.860596437
SAFFIR-SIMPSON SCALE AT LANDFALL (CATEGORY 3),TROPICAL CYCLONES,0.860596437
SAFFIR-SIMPSON SCALE AT LANDFALL (CATEGORY 4),TROPICAL CYCLONES,0.860596437
SAFFIR-SIMPSON SCALE AT LANDFALL (CATEGORY 5),TROPICAL CYCLONES,0.860596437
TROPICAL CYCLONE FORCE WIND EXTENT,TROPICAL CYCLONES,0.936015257
TROPICAL CYCLONE MOTION,TROPICAL CYCLONES,0.936015257
TROPICAL CYCLONE RADIUS,TROPICAL CYCLONES,0.936015257
TROPICAL CYCLONE TRACK,TROPICAL CYCLONES,0.936015257
TROPICAL DEPRESSION FREQUENCY,TROPICAL CYCLONES,0.860596437
TROPICAL DEPRESSION MOTION,TROPICAL CYCLONES,0.860596437
TROPICAL DEPRESSION TRACK,TROPICAL CYCLONES,0.860596437
TROPICAL STORM FORCE WIND EXTENT,TROPICAL CYCLONES,0.860596437
TROPICAL STORM FREQUENCY,TROPICAL CYCLONES,0.860596437
TROPICAL STORM MOTION,TROPICAL CYCLONES,0.860596437
TROPICAL STORM TRACK,TROPICAL CYCLONES,0.860596437
WEATHER/CLIMATE ADVISORIES,WEATHER EVENTS,0.585034662
Weather Forecast,WEATHER/CLIMATE ADVISORIES,0.934542359
WIND STORMS,WEATHER EVENTS,0.637261009
DERECHO,WIND STORMS,0.873570489
GALE,WIND STORMS,0.873570489
MICROBURST,WIND STORMS,0.873570489
SQUALL,WIND STORMS,0.873570489
BIOLOGICAL CLASSIFICATION,Earth Science,0
ANIMALS/INVERTEBRATES,BIOLOGICAL CLASSIFICATION,0.759943421
ACORN WORMS,ANIMALS/INVERTEBRATES,0.650508055
ARROW WORMS,ANIMALS/INVERTEBRATES,0.650508055
ARTHROPODS,ANIMALS/INVERTEBRATES,0.779977886
CHELICERATES,ARTHROPODS,0.796158911
ARACHNIDS,CHELICERATES,0.952202293
CRUSTACEANS,ARTHROPODS,0.901193456
AMPHIPODS,CRUSTACEANS,0.845798846
BARNACLES,CRUSTACEANS,0.845798846
COPEPODS,CRUSTACEANS,0.845798846
DECAPODS,CRUSTACEANS,0.845798846
EUPHAUSIIDS (KRILL),CRUSTACEANS,0.845798846
ISOPODS,CRUSTACEANS,0.845798846
MYSIDS,CRUSTACEANS,0.845798846
OSTRACODS,CRUSTACEANS,0.845798846
HEXAPODS,ARTHROPODS,0.821985165
ENTOGNATHA,HEXAPODS,0.925499031
INSECTS,HEXAPODS,0.925499031
MYRIAPODS,ARTHROPODS,0.821985165
CENTIPEDES,MYRIAPODS,0.925499031
MILLIPEDES,MYRIAPODS,0.925499031
BRYOZOANS/MOSS ANIMALS,ANIMALS/INVERTEBRATES,0.650508055
BURROWS/SPOON WORMS,ANIMALS/INVERTEBRATES,0.650508055
CNIDARIANS,ANIMALS/INVERTEBRATES,0.737750648
ANTHOZOANS/HEXACORALS,CNIDARIANS,0.865726995
HARD OR STONY CORALS,ANTHOZOANS/HEXACORALS,0.925499031
SEA ANEMONES,ANTHOZOANS/HEXACORALS,0.925499031
ANTHOZOANS/OCTOCORALS,CNIDARIANS,0.885347102
SEA FANS/SEA WHIPS,ANTHOZOANS/OCTOCORALS,0.905712131
SEA PENS,ANTHOZOANS/OCTOCORALS,0.905712131
SOFT CORALS,ANTHOZOANS/OCTOCORALS,0.905712131
HYDROZOANS,CNIDARIANS,0.839505817
JELLYFISHES,CNIDARIANS,0.839505817
COMB JELLIES,ANIMALS/INVERTEBRATES,0.650508055
ECHINODERMS,ANIMALS/INVERTEBRATES,0.691388051
BRITTLE/BASKET STARS,ECHINODERMS,0.88905287
SEA STARS,ECHINODERMS,0.88905287
SEA URCHINS,ECHINODERMS,0.88905287
ENTOPROCTS,ANIMALS/INVERTEBRATES,0.650508055
FLATWORMS/FLUKES/TAPEWORMS,ANIMALS/INVERTEBRATES,0.650508055
GNATHOSTOMULIDS,ANIMALS/INVERTEBRATES,0.650508055
HORSEHAIR WORMS,ANIMALS/INVERTEBRATES,0.650508055
LAMP SHELLS,ANIMALS/INVERTEBRATES,0.650508055
LORICIFERANS,ANIMALS/INVERTEBRATES,0.650508055
MOLLUSKS,ANIMALS/INVERTEBRATES,0.737750648
APLACOPHORANS,MOLLUSKS,0.839505817
BIVALVES,MOLLUSKS,0.885347102
CLAMS,BIVALVES,0.905712131
MUSSELS,BIVALVES,0.905712131
OYSTERS,BIVALVES,0.905712131
CEPHALOPODS,MOLLUSKS,0.839505817
SQUIDS,CEPHALOPODS,0.952202293
CHITONS,MOLLUSKS,0.839505817
GASTROPODS,MOLLUSKS,0.839505817
PEANUT WORMS,ANIMALS/INVERTEBRATES,0.650508055
PHORONIDS,ANIMALS/INVERTEBRATES,0.650508055
PRIAPULANS,ANIMALS/INVERTEBRATES,0.650508055
RIBBON WORMS,ANIMALS/INVERTEBRATES,0.650508055
ROTIFERS,ANIMALS/INVERTEBRATES,0.650508055
ROUNDWORMS,ANIMALS/INVERTEBRATES,0.650508055
SEGMENTED WORMS (ANNELIDS),ANIMALS/INVERTEBRATES,0.691388051
BRISTLE WORMS,SEGMENTED WORMS (ANNELIDS),0.88905287
EARTHWORMS,SEGMENTED WORMS (ANNELIDS),0.88905287
LEECHES,SEGMENTED WORMS (ANNELIDS),0.88905287
SPINY-HEADED WORMS,ANIMALS/INVERTEBRATES,0.650508055
SPONGES,ANIMALS/INVERTEBRATES,0.650508055
TUNICATES,ANIMALS/INVERTEBRATES,0.691388051
LARVACEANS,TUNICATES,0.88905287
SALPS,TUNICATES,0.88905287
SEA SQUIRTS,TUNICATES,0.88905287
WATER BEARS (TARDIGRADES),ANIMALS/INVERTEBRATES,0.650508055
WHEEL WEAVERS (CYCLIOPHORANS),ANIMALS/INVERTEBRATES,0.650508055
ANIMALS/VERTEBRATES,BIOLOGICAL CLASSIFICATION,0.739892257
AMPHIBIANS,ANIMALS/VERTEBRATES,0.693058791
FROGS/TOADS,AMPHIBIANS,0.908396025
SALAMANDERS,AMPHIBIANS,0.908396025
BIRDS,ANIMALS/VERTEBRATES,0.800425337
ALBATROSSES/PETRELS AND ALLIES,BIRDS,0.796158911
CRANES AND ALLIES,BIRDS,0.796158911
DUCKS/GEESE/SWANS,BIRDS,0.796158911
EAGLES/FALCONS/HAWKS AND ALLIES,BIRDS,0.796158911
GREBES,BIRDS,0.796158911
HERONS/EGRETS AND ALLIES,BIRDS,0.796158911
IBISES/SPOONBILLS,BIRDS,0.796158911
LOONS,BIRDS,0.796158911
PELICANS AND ALLIES,BIRDS,0.796158911
PENGUINS,BIRDS,0.796158911
PERCHING BIRDS,BIRDS,0.796158911
SANDPIPERS,BIRDS,0.796158911
WADERS/GULLS/AUKS AND ALLIES,BIRDS,0.796158911
FISH,ANIMALS/VERTEBRATES,0.794504082
LAMPREYS/HAGFISHES,FISH,0.802084293
RAY-FINNED FISHES,FISH,0.923475308
ANCHOVIES/HERRINGS,RAY-FINNED FISHES,0.829946345
CATFISHES/MINNOWS,RAY-FINNED FISHES,0.829946345
CODS/HADDOCKS,RAY-FINNED FISHES,0.829946345
FLOUNDERS,RAY-FINNED FISHES,0.829946345
NEEDLEFISHES,RAY-FINNED FISHES,0.829946345
PERCH-LIKE FISHES,RAY-FINNED FISHES,0.829946345
TUNAS AND ALLIES,PERCH-LIKE FISHES,0.962863434
PUPFISHES,RAY-FINNED FISHES,0.829946345
SALMONS/TROUTS,RAY-FINNED FISHES,0.829946345
STICKLEBACKS,RAY-FINNED FISHES,0.829946345
STURGEONS/PADDLEFISHES,RAY-FINNED FISHES,0.829946345
SHARKS/RAYS/CHIMAERAS,FISH,0.802084293
MAMMALS,ANIMALS/VERTEBRATES,0.80601778
BATS,MAMMALS,0.790589579
CARNIVORES,MAMMALS,0.864528341
BEARS,CARNIVORES,0.876553714
DOGS/FOXES/WOLVES,CARNIVORES,0.876553714
MARTENS/WEASELS/WOLVERINES,CARNIVORES,0.876553714
OTTERS,CARNIVORES,0.876553714
SEALS/SEA LIONS/WALRUSES,CARNIVORES,0.876553714
CETACEANS,MAMMALS,0.816357683
BALEEN WHALES,CETACEANS,0.925499031
TOOTHED WHALES,CETACEANS,0.925499031
DUGONGS/MANATEES,MAMMALS,0.790589579
ELEPHANTS,MAMMALS,0.790589579
EVEN-TOED UNGULATES,MAMMALS,0.835683256
CATTLE/SHEEP,EVEN-TOED UNGULATES,0.905712131
DEER/MOOSE,EVEN-TOED UNGULATES,0.905712131
HOGS/PIGS,EVEN-TOED UNGULATES,0.905712131
RODENTS,MAMMALS,0.790589579
MARINE MAMMALS,ANIMALS/VERTEBRATES,0.693058791
DOLPHINS,MARINE MAMMALS,0.908396025
PINNIPED,MARINE MAMMALS,0.908396025
REPTILES,ANIMALS/VERTEBRATES,0.710866279
ALLIGATORS/CROCODILES,REPTILES,0.88905287
LIZARDS/SNAKES,REPTILES,0.88905287
TURTLES,REPTILES,0.88905287
SEA TURTLES,TURTLES,0.952202293
BACTERIA/ARCHAEA,BIOLOGICAL CLASSIFICATION,0.52997139
CYANOBACTERIA (BLUE-GREEN ALGAE),BACTERIA/ARCHAEA,0.900735986
FUNGI,BIOLOGICAL CLASSIFICATION,0.577528947
LICHENS,FUNGI,0.842323637
MUSHROOMS,FUNGI,0.842323637
SLIME MOLDS,PROTISTS,0.763548162
YEASTS/TRUFFLES,FUNGI,0.842323637
PLANTS,BIOLOGICAL CLASSIFICATION,0.66439309
ANGIOSPERMS (FLOWERING PLANTS),PLANTS,0.76993759
DICOTS,ANGIOSPERMS (FLOWERING PLANTS),0.908396025
MONOCOTS,ANGIOSPERMS (FLOWERING PLANTS),0.908396025
SEAGRASS,MONOCOTS,0.952202293
FERNS AND ALLIES,PLANTS,0.803579009
CLUB MOSSES,FERNS AND ALLIES,0.873570489
FERNS,FERNS AND ALLIES,0.873570489
HORSETAILS,FERNS AND ALLIES,0.873570489
WHISK FERNS,FERNS AND ALLIES,0.873570489
GYMNOSPERMS,PLANTS,0.803579009
CONIFERS,GYMNOSPERMS,0.873570489
CYCADS,GYMNOSPERMS,0.873570489
GINKGO,GYMNOSPERMS,0.873570489
GNETOPS,GYMNOSPERMS,0.873570489
MACROALGAE (SEAWEEDS),PROTISTS,0.807282378
BROWN ALGAE,MACROALGAE (SEAWEEDS),0.88905287
GREEN ALGAE,MACROALGAE (SEAWEEDS),0.88905287
RED ALGAE,MACROALGAE (SEAWEEDS),0.88905287
MICROALGAE,PLANTS,0.803579009
CRYPTOMONADS,FLAGELLATES,0.88905287
DIATOMS,PROTISTS,0.763548162
DINOFLAGELLATES,FLAGELLATES,0.88905287
HAPTOPHYTES,FLAGELLATES,0.88905287
COCCOLITHOPHORES,HAPTOPHYTES,0.952202293
MOSSES/HORNWORTS/LIVERWORTS,PLANTS,0.745175622
PROTISTS,BIOLOGICAL CLASSIFICATION,0.64715766
AMOEBOIDS,PROTISTS,0.807282378
AMOEBAS,AMOEBOIDS,0.88905287
FORAMINIFERS,AMOEBOIDS,0.88905287
