Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update
331,script_186323.txt,LANDSAT/LC8_SR,Be_Acted_On,Calculate Normalized Burn Ratio (NBR),USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Calculate Normalized Burn Ratio (NBR) For Images
332,script_186323.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Calculate Normalized Burn Ratio (NBR),USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
333,script_186323.txt,LANDSAT/LC8_SR,Be_Acted_On,Create and export image mosaic,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Creates And Exports Image Mosaics
334,script_186323.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Create and export image mosaic,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
335,script_186323.txt,LANDSAT/LC8_SR,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Export Selected Image
336,script_186323.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
337,script_186323.txt,LANDSAT/LC8_SR,Be_Acted_On,Display images with specific visualization parameters,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Visualize Radar Images With Specific Visualization Parameters
338,script_186323.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Display images with specific visualization parameters,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Visualize Radar Images With Specific Visualization Parameters
339,script_186323.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Filter image collection by date and area,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
340,script_186323.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Filter image collection by date and area,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
341,script_186323.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Filter image collection by date and area,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
342,script_186323.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Sort image collection by start time,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
343,script_186323.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Sort image collection by start time,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
344,script_186323.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Sort image collection by start time,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
345,script_186323.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Calculate Normalized Difference Vegetation Index (NDVI),USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
346,script_186323.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Calculate Normalized Difference Vegetation Index (NDVI),USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
347,script_186323.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Calculate Normalized Difference Vegetation Index (NDVI),USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
348,script_186323.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Calculate Normalized Burn Ratio (NBR),USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
349,script_186323.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Calculate Normalized Burn Ratio (NBR),USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
350,script_186323.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Calculate Normalized Burn Ratio (NBR),USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
351,script_186323.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Create and export image mosaic,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
352,script_186323.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Create and export image mosaic,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
353,script_186323.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Create and export image mosaic,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
354,script_186323.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Export Selected Image
355,script_186323.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
356,script_186323.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
357,script_186323.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Display images with specific visualization parameters,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Visualize Radar Images With Specific Visualization Parameters
358,script_186323.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Display images with specific visualization parameters,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Visualize Radar Images With Specific Visualization Parameters
359,script_186323.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Display images with specific visualization parameters,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Visualize Radar Images With Specific Visualization Parameters
360,script_186323.txt,COPERNICUS/S2,Be_Acted_On,Filter image collection by date and area,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Date And Region
361,script_186323.txt,COPERNICUS/S2,Be_Acted_On,Sort image collection by start time,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Sort Images By Start Time
362,script_186323.txt,COPERNICUS/S2,Be_Acted_On,Calculate Normalized Difference Vegetation Index (NDVI),"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
363,script_186323.txt,COPERNICUS/S2,Be_Acted_On,Calculate Normalized Burn Ratio (NBR),"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Calculate Normalized Burn Ratio (NBR) For Images
364,script_186323.txt,COPERNICUS/S2,Be_Acted_On,Create and export image mosaic,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Creates And Exports Image Mosaics
365,script_186323.txt,COPERNICUS/S2,Be_Acted_On,Export image properties to a CSV file,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Selected Image
366,script_186323.txt,COPERNICUS/S2,Be_Acted_On,Display images with specific visualization parameters,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Visualize Radar Images With Specific Visualization Parameters
367,script_186325.txt,LANDSAT/LC8_SR,Be_Acted_On,Filter image collection by date and region,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Image Collection By Date And Region
368,script_186325.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Filter image collection by date and region,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
369,script_186325.txt,LANDSAT/LC8_SR,Be_Acted_On,Sort images by start time,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Sort Images By Start Time
370,script_186325.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Sort images by start time,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
371,script_186325.txt,LANDSAT/LC8_SR,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Compute Median Of NDVI
372,script_186325.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
373,script_186325.txt,LANDSAT/LC8_SR,Be_Acted_On,Calculate NBR for each image,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Calculate Normalized Burn Ratio (NBR) For Images
374,script_186325.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Calculate NBR for each image,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
375,script_186325.txt,LANDSAT/LC8_SR,Be_Acted_On,Select specific bands from images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Select Specific Bands From Images
376,script_186325.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Select specific bands from images,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Select Specific Bands From Images
377,script_186325.txt,LANDSAT/LC8_SR,Be_Acted_On,Generate a mosaic from images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Generate Image Composites
378,script_186325.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Generate a mosaic from images,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Generate Image Composites
379,script_186325.txt,LANDSAT/LC8_SR,Be_Acted_On,Export image properties and images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Export Processed Images
380,script_186325.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Export image properties and images,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Export Processed Images
381,script_186325.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Filter image collection by date and region,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
382,script_186325.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Filter image collection by date and region,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
383,script_186325.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Filter image collection by date and region,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
384,script_186325.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Sort images by start time,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
385,script_186325.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Sort images by start time,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
386,script_186325.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Sort images by start time,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
387,script_186325.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
388,script_186325.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
389,script_186325.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
390,script_186325.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Calculate NBR for each image,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
391,script_186325.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Calculate NBR for each image,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
392,script_186325.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Calculate NBR for each image,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
393,script_186325.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Select specific bands from images,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Select Specific Bands From Images
394,script_186325.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Select specific bands from images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Select Specific Bands From Images
395,script_186325.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Select specific bands from images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Select Specific Bands From Images
396,script_186325.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Generate a mosaic from images,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Generate Image Composites
397,script_186325.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Generate a mosaic from images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Generate Image Composites
398,script_186325.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Generate a mosaic from images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Generate Image Composites
399,script_186325.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Export image properties and images,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Export Processed Images
400,script_186325.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Export image properties and images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Processed Images
401,script_186325.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Export image properties and images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Processed Images
402,script_186325.txt,COPERNICUS/S2,Be_Acted_On,Filter image collection by date and region,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Date And Region
403,script_186325.txt,COPERNICUS/S2,Be_Acted_On,Sort images by start time,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Sort Images By Start Time
404,script_186325.txt,COPERNICUS/S2,Be_Acted_On,Calculate NDVI for each image,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Compute Median Of NDVI
405,script_186325.txt,COPERNICUS/S2,Be_Acted_On,Calculate NBR for each image,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Calculate Normalized Burn Ratio (NBR) For Images
406,script_186325.txt,COPERNICUS/S2,Be_Acted_On,Select specific bands from images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images
407,script_186325.txt,COPERNICUS/S2,Be_Acted_On,Generate a mosaic from images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Generate Image Composites
408,script_186325.txt,COPERNICUS/S2,Be_Acted_On,Export image properties and images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images
409,script_186326.txt,COPERNICUS/S2,Be_Acted_On,Filter image collection by date and region,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Date And Region
410,script_186326.txt,COPERNICUS/S2,Be_Acted_On,Calculate NDVI and NBR indices,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Compute Median Of NDVI
411,script_186326.txt,COPERNICUS/S2,Be_Acted_On,Create image mosaics,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Mosaicking
412,script_186326.txt,COPERNICUS/S2,Be_Acted_On,Export image properties and mosaics,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Creates And Exports Image Mosaics
413,script_186326.txt,COPERNICUS/S2,Be_Acted_On,Visualize changes in forest cover and fire detection,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Visualize Changes In Forest Cover Over Time
414,script_186329.txt,LANDSAT/LC8_SR,Be_Acted_On,Filter image collection by date and cloud cover,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Images By Cloud Cover
415,script_186329.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Filter image collection by date and cloud cover,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Filter Images By Cloud Cover
416,script_186329.txt,LANDSAT/LC08/C01/T1_TOA,Be_Acted_On,Filter image collection by date and cloud cover,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Filter Images By Cloud Cover
417,script_186329.txt,LANDSAT/LC8_SR,Be_Acted_On,Sort image collection by start time,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Sort Images By Start Time
418,script_186329.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Sort image collection by start time,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
419,script_186329.txt,LANDSAT/LC08/C01/T1_TOA,Be_Acted_On,Sort image collection by start time,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Sort Images By Start Time
420,script_186329.txt,LANDSAT/LC8_SR,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Compute Median Of NDVI
421,script_186329.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
422,script_186329.txt,LANDSAT/LC08/C01/T1_TOA,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Compute Median Of NDVI
423,script_186329.txt,LANDSAT/LC8_SR,Be_Acted_On,Calculate NBR for each image,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Calculate Normalized Burn Ratio (NBR) For Images
424,script_186329.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Calculate NBR for each image,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
425,script_186329.txt,LANDSAT/LC08/C01/T1_TOA,Be_Acted_On,Calculate NBR for each image,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
426,script_186329.txt,LANDSAT/LC8_SR,Be_Acted_On,Select specific bands from images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Select Specific Bands From Images
427,script_186329.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Select specific bands from images,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Select Specific Bands From Images
428,script_186329.txt,LANDSAT/LC08/C01/T1_TOA,Be_Acted_On,Select specific bands from images,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Select Specific Bands From Images
429,script_186329.txt,LANDSAT/LC8_SR,Be_Acted_On,Create and export image mosaic,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Creates And Exports Image Mosaics
430,script_186329.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Create and export image mosaic,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
431,script_186329.txt,LANDSAT/LC08/C01/T1_TOA,Be_Acted_On,Create and export image mosaic,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Creates And Exports Image Mosaics
432,script_186329.txt,LANDSAT/LC8_SR,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Export Selected Image
433,script_186329.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
434,script_186329.txt,LANDSAT/LC08/C01/T1_TOA,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Export Selected Image
435,script_186329.txt,LANDSAT/LC8_SR,Be_Acted_On,Export individual images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Export Selected Image
436,script_186329.txt,LANDSAT/LC8_L1T_TOA,Be_Acted_On,Export individual images,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
437,script_186329.txt,LANDSAT/LC08/C01/T1_TOA,Be_Acted_On,Export individual images,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Export Selected Image
438,script_186329.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Filter image collection by date and cloud cover,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Filter Images By Cloud Cover
439,script_186329.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Filter image collection by date and cloud cover,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Filter Images By Cloud Cover
440,script_186329.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Filter image collection by date and cloud cover,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Filter Images By Cloud Cover
441,script_186329.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Sort image collection by start time,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
442,script_186329.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Sort image collection by start time,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
443,script_186329.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Sort image collection by start time,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Sort Images By Start Time
444,script_186329.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
445,script_186329.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
446,script_186329.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Calculate NDVI for each image,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
447,script_186329.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Calculate NBR for each image,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
448,script_186329.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Calculate NBR for each image,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
449,script_186329.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Calculate NBR for each image,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Calculate Normalized Burn Ratio (NBR) For Images
450,script_186329.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Select specific bands from images,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Select Specific Bands From Images
451,script_186329.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Select specific bands from images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Select Specific Bands From Images
452,script_186329.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Select specific bands from images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Select Specific Bands From Images
453,script_186329.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Create and export image mosaic,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
454,script_186329.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Create and export image mosaic,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
455,script_186329.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Create and export image mosaic,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
456,script_186329.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Export Selected Image
457,script_186329.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
458,script_186329.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Export image properties to a CSV file,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
459,script_186329.txt,LANDSAT/LT5_L1T_TOA_FMASK,Be_Acted_On,Export individual images,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Export Selected Image
460,script_186329.txt,LANDSAT/LE7_L1T_TOA_FMASK,Be_Acted_On,Export individual images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
461,script_186329.txt,LANDSAT/LE7_L1T_TOA,Be_Acted_On,Export individual images,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
462,script_186329.txt,users/khoapv/xatong,Be_Acted_On,Filter image collection by date and cloud cover,users/khoapv/,Filter Images By Cloud Cover
463,script_186329.txt,users/khoapv/xatong,Be_Acted_On,Sort image collection by start time,users/khoapv/,Sort Images By Start Time
464,script_186329.txt,users/khoapv/xatong,Be_Acted_On,Calculate NDVI for each image,users/khoapv/,Compute Median Of NDVI
465,script_186329.txt,users/khoapv/xatong,Be_Acted_On,Calculate NBR for each image,users/khoapv/,Calculate Normalized Burn Ratio (NBR) For Images
466,script_186329.txt,users/khoapv/xatong,Be_Acted_On,Select specific bands from images,users/khoapv/,Select Specific Bands From Images
467,script_186329.txt,users/khoapv/xatong,Be_Acted_On,Create and export image mosaic,users/khoapv/,Creates And Exports Image Mosaics
468,script_186329.txt,users/khoapv/xatong,Be_Acted_On,Export image properties to a CSV file,users/khoapv/,Export Selected Image
469,script_186329.txt,users/khoapv/xatong,Be_Acted_On,Export individual images,users/khoapv/,Export Selected Image
470,script_186332.txt,MODIS/006/MOD09Q1,Be_Acted_On,Clip MODIS images to a specific region,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Clip Images To A Specific Region
471,script_186332.txt,MODIS/006/MOD09Q1,Be_Acted_On,Calculate NDVI for vegetation analysis,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Computes Normalized Difference Vegetation Index (NDVI)
472,script_186332.txt,MODIS/006/MOD09Q1,Be_Acted_On,Generate time-series NDVI as multiband image,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Generate Time Series Charts For NDVI
473,script_186332.txt,MODIS/006/MOD09Q1,Be_Acted_On,Sample multiband image for clustering,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Sampling Image
474,script_186332.txt,MODIS/006/MOD09Q1,Be_Acted_On,Cluster image data to classify land use,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Cluster Image Data
475,script_186332.txt,MODIS/006/MOD09Q1,Be_Acted_On,Remap cluster results to merge similar classes,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Remap Cluster Results To Simplified Classes
476,script_186332.txt,MODIS/006/MOD09Q1,Be_Acted_On,Mask and refine classification based on proximity to sugar mills,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Apply Mask To Classification Results
477,script_186332.txt,MODIS/006/MOD09Q1,Be_Acted_On,Create a mosaic of refined classifications,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Create Median Composite Of Images
478,script_186333.txt,MODIS/006/MOD09Q1,Be_Acted_On,Filter image collection by date and region,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Filter Image Collection By Date And Region
